street_name,odd_on,avg_direction,building_num_range,start_end_coordinates,segment_length,segment_direction,building_num_range_length,avg_length_per_building,direction_deviation,road_type,offset_from_road_center
Gramercy Park S,left,118.00313125884365,"[21, 32]","[[40.73792, -73.986336], [40.737664, -73.985632]]",70.43740315740905,120.29789582292678,12,5.8697835964507545,-2.294764564083124,Park,5
Grand Street,right,95.85985089739955,"[1, 18]","[[40.723648, -74.006064], [40.723586, -74.00527]]",67.43400806945085,95.85985089739955,18,3.7463337816361584,0.0,Street,5
Grand Street,right,119.60798052600303,"[19, 35]","[[40.723586, -74.00527], [40.723264, -74.004368]]",78.6334253112095,124.39456845447836,17,4.625495606541736,-4.786587928475342,Street,5
Grand Street,right,119.60798052600303,"[36, 52]","[[40.723264, -74.004368], [40.722864, -74.0036]]",84.17841363522561,115.13669402730142,17,4.951671390307389,4.471286498701602,Street,5
Grand Street,right,122.9554149975758,"[53, 70]","[[40.722864, -74.0036], [40.72248, -74.002832]]",82.01307922651381,122.79329556186539,18,4.5562821792507675,0.16211943571039455,Street,5
Grand Street,right,122.9554149975758,"[71, 85]","[[40.72248, -74.002832], [40.722096, -74.002048]]",71.05517482970917,125.10841246336689,15,4.737011655313945,-2.1529974657910884,Street,5
Grand Street,right,122.9554149975758,"[86, 102]","[[40.722096, -74.002048], [40.721728, -74.00136]]",78.7773859059801,122.77230584568126,17,4.633963876822358,0.18310915189454136,Street,5
Grand Street,right,122.9554149975758,"[103, 119]","[[40.721728, -74.00136], [40.721328, -74.000544]]",77.64389770272517,123.3124395064808,17,4.5672881001603045,-0.35702450890499904,Street,5
Grand Street,right,122.08090401175997,"[120, 131]","[[40.721328, -74.000544], [40.720976, -73.999792]]",52.26182936553913,118.42210233544108,12,4.355152447128261,3.6588016763188875,Street,5
Grand Street,right,122.08090401175997,"[132, 148]","[[40.720976, -73.999792], [40.72056, -73.999008]]",80.75746753774408,124.89207174811622,17,4.750439266926122,-2.8111677363562535,Street,5
Grand Street,right,122.08090401175997,"[149, 163]","[[40.72056, -73.999008], [40.720336, -73.998464]]",74.59706947376084,121.60089697429297,15,4.973137964917389,0.48000703746700424,Street,5
Grand Street,right,125.4482394071228,"[164, 171]","[[40.720336, -73.998464], [40.720128, -73.99808]]",39.82641748064174,125.44823940712278,8,4.978302185080217,0.0,Street,5
Grand Street,right,117.26746327039362,"[172, 187]","[[40.720128, -73.99808], [40.719808, -73.997264]]",77.56323952372317,117.26746327039362,16,4.847702470232698,0.0,Street,5
Grand Street,right,116.23720619176146,"[188, 203]","[[40.719808, -73.997264], [40.71952, -73.996496]]",72.34227679501484,116.23720619176146,16,4.5213922996884275,0.0,Street,5
Grand Street,right,114.07816886552162,"[204, 220]","[[40.71952, -73.996496], [40.719248, -73.995696]]",74.03472478224775,114.07816886552162,17,4.354983810720456,0.0,Street,5
Grand Street,right,117.07235400369167,"[221, 235]","[[40.719248, -73.995696], [40.718912, -73.994832]]",81.98346589816714,117.07235400369167,15,5.465564393211142,0.0,Street,5
Grand Street,right,111.09909449825123,"[236, 250]","[[40.718912, -73.994832], [40.71864, -73.993808]]",66.41628378506827,113.6580875312578,15,4.427752252337885,-2.5589930330065727,Street,5
Grand Street,right,111.09909449825123,"[251, 270]","[[40.71864, -73.993808], [40.7184, -73.993088]]",91.64054859346771,109.24446998876539,20,4.582027429673386,1.854624509485859,Street,5
Grand Street,right,112.10859420042317,"[271, 289]","[[40.7184, -73.993088], [40.718128, -73.992208]]",80.25441238929636,112.10859420042317,19,4.223916441541914,0.0,Street,5
