Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
10817,1784,1910,Trow,826,Restaurant,Langer Harry,304 E Houston  St.  ,Manhattan,New York,New York,304,E,Houston ,St.,,,304 E Houston  St.  ,,,Langer
10818,1785,1910,Trow,826,Restaurant,Langweil Abraham,144 Attorney St.   ,Manhattan,New York,New York,144,Attorney,St.,,,,144 Attorney St.   ,,,Langweil
10819,1786,1910,Trow,826,Restaurant,Lasala Vincenzo ,196 Mott St.   ,Manhattan,New York,New York,196,Mott,St.,,,,196 Mott St.   ,,,Lasala
10820,1787,1910,Trow,826,Restaurant,Lashinsky Brothers,107 3 Ave   ,Manhattan,New York,New York,107,3,Ave,,,,107 3 Ave   ,,,Lashinsky
10821,1788,1910,Trow,826,Restaurant,Laskow Lena,166 Madison St.   ,Manhattan,New York,New York,166,Madison,St.,,,,166 Madison St.   ,,,Laskow
10822,1789,1910,Trow,826,Restaurant,Last Zalel,234 Delancey St.   ,Manhattan,New York,New York,234,Delancey,St.,,,,234 Delancey St.   ,,,Last
10823,1790,1910,Trow,826,Restaurant,Latofra Pietro,13 New Chambers St.   ,Manhattan,New York,New York,13,New Chambers,St.,,,,13 New Chambers St.   ,,,Latofra
10824,1791,1910,Trow,826,Restaurant,Laube Paul H.,641 6 Ave   ,Manhattan,New York,New York,641,6,Ave,,,,641 6 Ave   ,,,Laube
10825,1792,1910,Trow,826,Restaurant,Laubenheimer Rudolph H.,817 1 Ave   ,Manhattan,New York,New York,817,1,Ave,,,,817 1 Ave   ,,,Laubenheimer
10826,1793,1910,Trow,826,Restaurant,Laufer & Tocker ,27 E 21 St.  ,Manhattan,New York,New York,27,E,21,St.,,,27 E 21 St.  ,,,Laufer
10827,1794,1910,Trow,826,Restaurant,Lauritano Andrew,285 E 149 St.  ,Manhattan,New York,New York,285,E,149,St.,,,285 E 149 St.  ,,,Lauritano
10828,1795,1910,Trow,826,Restaurant,Lauritano Enrico,315 E 149 St.  ,Manhattan,New York,New York,315,E,149,St.,,,315 E 149 St.  ,,,Lauritano
10829,1796,1910,Trow,826,Restaurant,Lazar Isaac,20 Suffolk St.   ,Manhattan,New York,New York,20,Suffolk,St.,,,,20 Suffolk St.   ,,,Lazar
10830,1797,1910,Trow,826,Restaurant,Lazar Kiva,194 Delancey St.   ,Manhattan,New York,New York,194,Delancey,St.,,,,194 Delancey St.   ,,,Lazar
10831,1798,1910,Trow,826,Restaurant,Lazar Kiva,246 Delancey St.   ,Manhattan,New York,New York,246,Delancey,St.,,,,246 Delancey St.   ,,,Lazar
10832,1799,1910,Trow,826,Restaurant,Kazar's Café,153 Forsyth St.   ,Manhattan,New York,New York,153,Forsyth,St.,,,,153 Forsyth St.   ,,,Kazar's
10833,1800,1910,Trow,826,Restaurant,Kazinsky Philip,49 E 12 St.  ,Manhattan,New York,New York,49,E,12,St.,,,49 E 12 St.  ,,,Kazinsky
10834,1801,1910,Trow,826,Restaurant,Leacakes Peter,150 E 59 St.  ,Manhattan,New York,New York,150,E,59,St.,,,150 E 59 St.  ,,,Leacakes
10835,1802,1910,Trow,826,Restaurant,Leahy Timothy,463 W 14 St.  ,Manhattan,New York,New York,463,W,14,St.,,,463 W 14 St.  ,,,Leahy
10836,1803,1910,Trow,826,Restaurant,Lear Frederick,757 Broadway    ,Manhattan,New York,New York,757,Broadway,,,,,757 Broadway    ,,,Lear
10837,1804,1910,Trow,826,Restaurant,Leary John H.,432 4 Ave   ,Manhattan,New York,New York,432,4,Ave,,,,432 4 Ave   ,,,Leary
10838,1805,1910,Trow,826,Restaurant,Lebowitz Harry ,68 E 11 St.  ,Manhattan,New York,New York,68,E,11,St.,,,68 E 11 St.  ,,,Lebowitz
10839,1806,1910,Trow,826,Restaurant,Lebowitz Scholem ,142 Allen St.   ,Manhattan,New York,New York,142,Allen,St.,,,,142 Allen St.   ,,,Lebowitz
10840,1807,1910,Trow,826,Restaurant,Leclair Harry,253 W 145 St.  ,Manhattan,New York,New York,253,W,145,St.,,,253 W 145 St.  ,,,Leclair
10841,1808,1910,Trow,826,Restaurant,Leder Philip,116 Rivington St.   ,Manhattan,New York,New York,116,Rivington,St.,,,,116 Rivington St.   ,,,Leder
10842,1809,1910,Trow,826,Restaurant,Lederer & Weisl,58 E 8 St.  ,Manhattan,New York,New York,58,E,8,St.,,,58 E 8 St.  ,,,Lederer
10843,1810,1910,Trow,826,Restaurant,Lederman Augusta,488 Wendover Ave   ,Manhattan,New York,New York,488,Wendover,Ave,,,,488 Wendover Ave   ,,,Lederman
10844,1811,1910,Trow,826,Restaurant,Lee Benjamin F.,324 W 37 St.  ,Manhattan,New York,New York,324,W,37,St.,,,324 W 37 St.  ,,,Lee
10845,1812,1910,Trow,826,Chinese Restaurant,Lee Fong Co,514 3 Ave   ,Manhattan,New York,New York,514,3,Ave,,,,514 3 Ave   ,,,Lee
10846,1813,1910,Trow,826,Restaurant,Lee George,2312 3 Ave   ,Manhattan,New York,New York,2312,3,Ave,,,,2312 3 Ave   ,,,Lee
10847,1814,1910,Trow,826,Chinese Restaurant,Lee Hung,36 Pell St.   ,Manhattan,New York,New York,36,Pell,St.,,,,36 Pell St.   ,,,Lee
10848,1815,1910,Trow,826,Restaurant,Legler Richard T.,795 8 Ave   ,Manhattan,New York,New York,795,8,Ave,,,,795 8 Ave   ,,,Legler
10849,1816,1910,Trow,826,Restaurant,Lehman Albert,1100 3 Ave   ,Manhattan,New York,New York,1100,3,Ave,,,,1100 3 Ave   ,,,Lehman
10850,1817,1910,Trow,826,Restaurant,Lehman Samuel,111 Lafayette St.   ,Manhattan,New York,New York,111,Lafayette,St.,,,,111 Lafayette St.   ,,,Lehman
10851,1818,1910,Trow,826,Restaurant,Lehman & Mindes,166 Allen St.   ,Manhattan,New York,New York,166,Allen,St.,,,,166 Allen St.   ,,,Lehman
10852,1819,1910,Trow,826,Restaurant,Leibowitz Louis,2317 3 Ave   ,Manhattan,New York,New York,2317,3,Ave,,,,2317 3 Ave   ,,,Leibowitz
10853,1820,1910,Trow,826,Restaurant,Leibowitz Brothers ,484.5 6 Ave   ,Manhattan,New York,New York,484.5,6,Ave,,,,484 6 Ave   ,,,Leibowitz
10854,1821,1910,Trow,826,Restaurant,Leider Brothers,76 7 St.   ,Manhattan,New York,New York,76,7,St.,,,,76 7 St.   ,,,Leider
10855,1822,1910,Trow,826,Restaurant,Leinwander Max,1528 2 Ave   ,Manhattan,New York,New York,1528,2,Ave,,,,1528 2 Ave   ,,,Leinwander
10856,1823,1910,Trow,826,Restaurant,Lejatron Angel,3254 Broadway    ,Manhattan,New York,New York,3254,Broadway,,,,,3254 Broadway    ,,,Lejatron
10857,1824,1910,Trow,826,Restaurant,Lemke Gustavus,12 W End Ave  ,Manhattan,New York,New York,12,W,End,Ave,,,12 W End Ave  ,,,Lemke
10858,1825,1910,Trow,826,Restaurant,LeMon (inc),36 E 28 St.  ,Manhattan,New York,New York,36,E,28,St.,,,36 E 28 St.  ,,,LeMon
10859,1826,1910,Trow,826,Restaurant,Lempert M.,15 E 13 St.  ,Manhattan,New York,New York,15,E,13,St.,,,15 E 13 St.  ,,,Lempert
10860,1827,1910,Trow,826,Restaurant,Lempert Samuel M.,493 3 Ave   ,Manhattan,New York,New York,493,3,Ave,,,,493 3 Ave   ,,,Lempert
10861,1828,1910,Trow,826,Restaurant,Lendrum William P.,162 13 Ave   ,Manhattan,New York,New York,162,13,Ave,,,,162 13 Ave   ,,,Lendrum
10862,1829,1910,Trow,826,Restaurant,Lennon William I.,715 7 Ave   ,Manhattan,New York,New York,715,7,Ave,,,,715 7 Ave   ,,,Lennon
10863,1830,1910,Trow,826,Restaurant,Lennon William I.,755 7 Ave   ,Manhattan,New York,New York,755,7,Ave,,,,755 7 Ave   ,,,Lennon
10864,1831,1910,Trow,826,Restaurant,Lenox Lunch,73 W 125 St.  ,Manhattan,New York,New York,73,W,125,St.,,,73 W 125 St.  ,,,Lenox
10865,1832,1910,Trow,826,Restaurant,Lenox Restaurant & Lunch Room,63 Fulton St.   ,Manhattan,New York,New York,63,Fulton,St.,,,,63 Fulton St.   ,,,Lenox
10866,1833,1910,Trow,826,Restaurant,Lentin David M.,484 Lenox Ave   ,Manhattan,New York,New York,484,Lenox,Ave,,,,484 Lenox Ave   ,,,Lentin
10867,1834,1910,Trow,826,Restaurant,Lentini Vincenzo,21 Hancock St.   ,Manhattan,New York,New York,21,Hancock,St.,,,,21 Hancock St.   ,,,Lentini
10868,1835,1910,Trow,826,Restaurant,Lento & Vaccaro,58 Mott St.   ,Manhattan,New York,New York,58,Mott,St.,,,,58 Mott St.   ,,,Lento
10869,1836,1910,Trow,826,Restaurant,Leo Carmeno,334 E 113 St.  ,Manhattan,New York,New York,334,E,113,St.,,,334 E 113 St.  ,,,Leo
10870,1837,1910,Trow,826,Restaurant,Leon Abram,21 W 17 St.  ,Manhattan,New York,New York,21,W,17,St.,,,21 W 17 St.  ,,,Leon
10871,1838,1910,Trow,826,Restaurant,Leslie Lunch,3377 Broadway    ,Manhattan,New York,New York,3377,Broadway,,,,,3377 Broadway    ,,,Leslie
10872,1839,1910,Trow,826,Restaurant,Lester Hyman,25 W 20 St.  ,Manhattan,New York,New York,25,W,20,St.,,,25 W 20 St.  ,,,Lester
10873,1840,1910,Trow,826,Restaurant,Lettieri Gabriele,14 Franklin St.   ,Manhattan,New York,New York,14,Franklin,St.,,,,14 Franklin St.   ,,,Lettieri
10874,1841,1910,Trow,826,Restaurant,Levidiotis Constantinus,160 E 42 St.  ,Manhattan,New York,New York,160,E,42,St.,,,160 E 42 St.  ,,,Levidiotis
10875,1842,1910,Trow,826,Restaurant,Levin Joseph,736 8 Ave   ,Manhattan,New York,New York,736,8,Ave,,,,736 8 Ave   ,,,Levin
10876,1843,1910,Trow,826,Restaurant,Levine Abraham,2779 8 Ave   ,Manhattan,New York,New York,2779,8,Ave,,,,2779 8 Ave   ,,,Levine
10877,1844,1910,Trow,826,Restaurant,Levine Eli ,87 E Broadway   ,Manhattan,New York,New York,87,E,Broadway,,,,87 E Broadway   ,,,Levine
10878,1845,1910,Trow,826,Restaurant,Levine Hyman,47 Delancey St.   ,Manhattan,New York,New York,47,Delancey,St.,,,,47 Delancey St.   ,,,Levine
10879,1846,1910,Trow,826,Restaurant,Levine Jacob ,36 St. Mark's Pl   ,Manhattan,New York,New York,36,St. Mark's,Pl,,,,36 St. Mark's Pl   ,,,Levine
10880,1847,1910,Trow,826,Restaurant,Levine Samuel,120 Chrystie St.   ,Manhattan,New York,New York,120,Chrystie,St.,,,,120 Chrystie St.   ,,,Levine
10881,1848,1910,Trow,826,Restaurant,Levine Samuel II,91 Columbia St.   ,Manhattan,New York,New York,91,Columbia,St.,,,,91 Columbia St.   ,,,Levine
10882,1849,1910,Trow,826,Restaurant,Levine & Bass,2326 3 Ave   ,Manhattan,New York,New York,2326,3,Ave,,,,2326 3 Ave   ,,,Levine
10883,1850,1910,Trow,826,Restaurant,Levitt Bertha,55 W Houston St.  ,Manhattan,New York,New York,55,W,Houston,St.,,,55 W Houston St.  ,,,Levitt
10884,1851,1910,Trow,826,Restaurant,Levkovits Sigmund,4 W 18 St.  ,Manhattan,New York,New York,4,W,18,St.,,,4 W 18 St.  ,,,Levkovits
10885,1852,1910,Trow,826,Restaurant,Levodansky Bloom,17 E 116 St.  ,Manhattan,New York,New York,17,E,116,St.,,,17 E 116 St.  ,,,Levodansky
10886,1853,1910,Trow,826,Restaurant,Levy Alexander,334 Bowery St.   ,Manhattan,New York,New York,334,Bowery,St.,,,,334 Bowery St.   ,,,Levy
10887,1854,1910,Trow,826,Restaurant,Levy Harry,370 Canal St.   ,Manhattan,New York,New York,370,Canal,St.,,,,370 Canal St.   ,,,Levy
10888,1855,1910,Trow,826,Restaurant,Levy Henry L.,10 W 17 St.  ,Manhattan,New York,New York,10,W,17,St.,,,10 W 17 St.  ,,,Levy
10889,1856,1910,Trow,826,Restaurant,Levy & Aboafia,176 Chrystie St.   ,Manhattan,New York,New York,176,Chrystie,St.,,,,176 Chrystie St.   ,,,Levy
10890,1857,1910,Trow,826,Restaurant,Lewis Morris,1585 Park Ave   ,Manhattan,New York,New York,1585,Park,Ave,,,,1585 Park Ave   ,,,Lewis
10891,1858,1910,Trow,826,Restaurant,Lewis & Jackson,607 Grand St.   ,Manhattan,New York,New York,607,Grand,St.,,,,607 Grand St.   ,,,Lewis
10892,1859,1910,Trow,826,Restaurant,Lewkowitz Louis,43 2 Ave   ,Manhattan,New York,New York,43,2,Ave,,,,43 2 Ave   ,,,Lewkowitz
10893,1860,1910,Trow,826,Restaurant,Lewy E. ,107 W 109 St.  ,Manhattan,New York,New York,107,W,109,St.,,,107 W 109 St.  ,,,Lewy
10894,1861,1910,Trow,826,Restaurant,Lewy Gerson,32 W 19 St.  ,Manhattan,New York,New York,32,W,19,St.,,,32 W 19 St.  ,,,Lewy
10895,1862,1910,Trow,826,Restaurant,Lewy Joseph,182 St. Nicholas Ave   ,Manhattan,New York,New York,182,St. Nicholas,Ave,,,,182 St. Nicholas Ave   ,,,Lewy
10896,1863,1910,Trow,826,Restaurant,Liakakos Bersidas,203 Worth St.   ,Manhattan,New York,New York,203,Worth,St.,,,,203 Worth St.   ,,,Liakakos
10897,1864,1910,Trow,826,Restaurant,Libby Walter F.,122 Fulton St.   ,Manhattan,New York,New York,122,Fulton,St.,,,,122 Fulton St.   ,,,Libby
10898,1865,1910,Trow,826,Restaurant,Lichtendorf Elias,180 Eldridge St.   ,Manhattan,New York,New York,180,Eldridge,St.,,,,180 Eldridge St.   ,,,Lichtendorf
