Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
10317,1284,1910,Trow,826,Restaurant,Hahn Anna,2454 2 Ave   ,Manhattan,New York,New York,2454,2,Ave,,,,2454 2 Ave   ,,,Hahn
10318,1285,1910,Trow,826,Restaurant,Hahn Conrad,2100 Boston Rd   ,Manhattan,New York,New York,2100,Boston,Rd,,,,2100 Boston Rd   ,,,Hahn
10319,1286,1910,Trow,826,Restaurant,Haimovitch Hyman,127 Eldridge St.   ,Manhattan,New York,New York,127,Eldridge,St.,,,,127 Eldridge St.   ,,,Haimovitch
10320,1287,1910,Trow,826,Restaurant,Haims Frederick,152 West St.   ,Manhattan,New York,New York,152,West,St.,,,,152 West St.   ,,,Haims
10321,1288,1910,Trow,826,Restaurant,Hairbloom & Gemeiner,112 W 28 St.  ,Manhattan,New York,New York,112,W,28,St.,,,112 W 28 St.  ,,,Hairbloom
10322,1289,1910,Trow,826,Restaurant,Half Moon Lunch,51 Liberty St.   ,Manhattan,New York,New York,51,Liberty,St.,,,,51 Liberty St.   ,,,Half
10323,1290,1910,Trow,826,Restaurant,Hall David B. ,117 W 21 St.  ,Manhattan,New York,New York,117,W,21,St.,,,117 W 21 St.  ,,,Hall
10324,1291,1910,Trow,826,Restaurant,Hall William E.,114 W 14 St.  ,Manhattan,New York,New York,114,W,14,St.,,,114 W 14 St.  ,,,Hall
10325,1292,1910,Trow,826,Restaurant,Hall's ,134 Pearl St.   ,Manhattan,New York,New York,134,Pearl,St.,,,,134 Pearl St.   ,,,Hall's
10326,1293,1910,Trow,826,Restaurant,Halleran George F.,430 7 Ave   ,Manhattan,New York,New York,430,7,Ave,,,,430 7 Ave   ,,,Halleran
10327,1294,1910,Trow,826,Restaurant,Halloran John H.,213 6 Ave   ,Manhattan,New York,New York,213,6,Ave,,,,213 6 Ave   ,,,Halloran
10328,1295,1910,Trow,826,Restaurant,Halpern Harry,22 University Pl   ,Manhattan,New York,New York,22,University,Pl,,,,22 University Pl   ,,,Halpern
10329,1296,1910,Trow,826,Restaurant,Halpern Joseph,34 6 Ave   ,Manhattan,New York,New York,34,6,Ave,,,,34 6 Ave   ,,,Halpern
10330,1297,1910,Trow,826,Restaurant,Hamberg Albert,85 W 134 St.  ,Manhattan,New York,New York,85,W,134,St.,,,85 W 134 St.  ,,,Hamberg
10331,1298,1910,Trow,826,Restaurant,Hamelburger Daniel,219 W Broadway   ,Manhattan,New York,New York,219,W,Broadway,,,,219 W Broadway   ,,,Hamelburger
10332,1299,1910,Trow,826,Restaurant,Hamilton Dining Rooms,140 Hamilton Pl   ,Manhattan,New York,New York,140,Hamilton,Pl,,,,140 Hamilton Pl   ,,,Hamilton
10333,1300,1910,Trow,826,Restaurant,Hamilton Lunch,219 W 125 St.  ,Manhattan,New York,New York,219,W,125,St.,,,219 W 125 St.  ,,,Hamilton
10334,1301,1910,Trow,826,Restaurant,Hamlik Albert,120 University Pl   ,Manhattan,New York,New York,120,University,Pl,,,,120 University Pl   ,,,Hamlik
10335,1302,1910,Trow,826,Restaurant,Hammer Isaac,26 Clinton St.   ,Manhattan,New York,New York,26,Clinton,St.,,,,26 Clinton St.   ,,,Hammer
10336,1303,1910,Trow,826,Restaurant,Hammer Joseph,261 Stanton St.   ,Manhattan,New York,New York,261,Stanton,St.,,,,261 Stanton St.   ,,,Hammer
10337,1304,1910,Trow,826,Restaurant,Hammerman Philip,374 Canal St.   ,Manhattan,New York,New York,374,Canal,St.,,,,374 Canal St.   ,,,Hammerman
10338,1305,1910,Trow,826,Restaurant,Hammerman Samuel,418 E 8 St.  ,Manhattan,New York,New York,418,E,8,St.,,,418 E 8 St.  ,,,Hammerman
