Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
9817,784,1910,Trow,826,Restaurant,Edwards Alice W.,130 W 57 St.  ,Manhattan,New York,New York,130,W,57,St.,,,130 W 57 St.  ,,,Edwards
9818,785,1910,Trow,826,Restaurant,Effros William,494 Columbus Ave   ,Manhattan,New York,New York,494,Columbus,Ave,,,,494 Columbus Ave   ,,,Effros
9819,786,1910,Trow,826,Restaurant,Egerton Harry,354 E 82 St.  ,Manhattan,New York,New York,354,E,82,St.,,,354 E 82 St.  ,,,Egerton
9820,787,1910,Trow,826,Restaurant,Egolnitzer Hyman ,168 Rivington St.   ,Manhattan,New York,New York,168,Rivington,St.,,,,168 Rivington St.   ,,,Egolnitzer
9821,788,1910,Trow,826,Restaurant,Ehrenhaus Louis,82 Norfolk St.   ,Manhattan,New York,New York,82,Norfolk,St.,,,,82 Norfolk St.   ,,,Ehrenhaus
9822,789,1910,Trow,826,Restaurant,Ehrig Richard ,146 7 Ave   ,Manhattan,New York,New York,146,7,Ave,,,,146 7 Ave   ,,,Ehrig
9823,790,1910,Trow,826,Restaurant,Ehring & Ehrhardt,957 6 Ave   ,Manhattan,New York,New York,957,6,Ave,,,,957 6 Ave   ,,,Ehring
9824,791,1910,Trow,826,Restaurant,Ehrler Dominick,6 Chatham  Sq   ,Manhattan,New York,New York,6,Chatham ,Sq,,,,6 Chatham  Sq   ,,,Ehrler
9825,792,1910,Trow,826,Restaurant,Ehrlich Barnett,471 Lenox Ave   ,Manhattan,New York,New York,471,Lenox,Ave,,,,471 Lenox Ave   ,,,Ehrlich
9826,793,1910,Trow,826,Restaurant,Ehrlich Samuel,89 4 Ave   ,Manhattan,New York,New York,89,4,Ave,,,,89 4 Ave   ,,,Ehrlich
9827,794,1910,Trow,826,Restaurant,Ehrlich Samuel,220 3 Ave    ,Manhattan,New York,New York,220,3,Ave ,,,,220 3 Ave    ,,,Ehrlich
9828,795,1910,Trow,826,Restaurant,Ehrlich Samuel,218 8 Ave    ,Manhattan,New York,New York,218,8,Ave ,,,,218 8 Ave    ,,,Ehrlich
9829,796,1910,Trow,826,Restaurant,Ehrlich Samuel,618 8 Ave   ,Manhattan,New York,New York,618,8,Ave,,,,618 8 Ave   ,,,Ehrlich
9830,797,1910,Trow,826,Restaurant,Eichen & Strauchler,62 E 12 St.  ,Manhattan,New York,New York,62,E,12,St.,,,62 E 12 St.  ,,,Eichen
9831,798,1910,Trow,826,Restaurant,Ellowitz Moses,115 Eldridge St.   ,Manhattan,New York,New York,115,Eldridge,St.,,,,115 Eldridge St.   ,,,Ellowitz
9832,799,1910,Trow,826,Restaurant,Einstein Harry,189 South St.   ,Manhattan,New York,New York,189,South,St.,,,,189 South St.   ,,,Einstein
9833,800,1910,Trow,826,Restaurant,Eisen Samuel,61 W 15 St.  ,Manhattan,New York,New York,61,W,15,St.,,,61 W 15 St.  ,,,Eisen
9834,801,1910,Trow,826,Restaurant,Eisenberg Samuel,81 Norfolk St.   ,Manhattan,New York,New York,81,Norfolk,St.,,,,81 Norfolk St.   ,,,Eisenberg
9835,802,1910,Trow,826,Restaurant,Eissner Marcus,221 5 St.   ,Manhattan,New York,New York,221,5,St.,,,,221 5 St.   ,,,Eissner
9836,803,1910,Trow,826,Restaurant,Eitzen William J. A,172 W End St.  ,Manhattan,New York,New York,172,W,End,St.,,,172 W End St.  ,,,Eitzen
9837,804,1910,Trow,826,Restaurant,Ekberg & Starkey,1789 3 Ave   ,Manhattan,New York,New York,1789,3,Ave,,,,1789 3 Ave   ,,,Ekberg
9838,805,1910,Trow,826,Restaurant,Ekonomako James,1339 Avenue A    ,Manhattan,New York,New York,1339,Avenue A,,,,,1339 Avenue A    ,,,Ekonomako
9839,806,1910,Trow,826,Restaurant,Elbert Henry,66 Beekman St.   ,Manhattan,New York,New York,66,Beekman,St.,,,,66 Beekman St.   ,,,Elbert
9840,807,1910,Trow,826,Restaurant,Eliasberg Max,344 3 Ave   ,Manhattan,New York,New York,344,3,Ave,,,,344 3 Ave   ,,,Eliasberg
9841,808,1910,Trow,826,Restaurant,Elie Frank,60 New Chambers St.   ,Manhattan,New York,New York,60,New Chambers,St.,,,,60 New Chambers St.   ,,,Elie
9842,809,1910,Trow,826,Restaurant,Elie Giuseppe,175 Hester St.   ,Manhattan,New York,New York,175,Hester,St.,,,,175 Hester St.   ,,,Elie
9843,810,1910,Trow,826,Restaurant,Eliojsoulo & Haydininos,103 W 28 St.  ,Manhattan,New York,New York,103,W,28,St.,,,103 W 28 St.  ,,,Eliojsoulo
9844,811,1910,Trow,826,Restaurant,Elkin Max,213 2 St.   ,Manhattan,New York,New York,213,2,St.,,,,213 2 St.   ,,,Elkin
9845,812,1910,Trow,826,Restaurant,Elsner & Epstein,1612 2 Ave   ,Manhattan,New York,New York,1612,2,Ave,,,,1612 2 Ave   ,,,Elsner
9846,813,1910,Trow,826,Restaurant,Elzter Nathan ,83 Chrystie St.   ,Manhattan,New York,New York,83,Chrystie,St.,,,,83 Chrystie St.   ,,,Elzter
9847,814,1910,Trow,826,Restaurant,Embricati & Clavasco ,909 Columbus Ave   ,Manhattan,New York,New York,909,Columbus,Ave,,,,909 Columbus Ave   ,,,Embricati
9848,815,1910,Trow,826,Restaurant,Emil Morris,205 W 62 St.  ,Manhattan,New York,New York,205,W,62,St.,,,205 W 62 St.  ,,,Emil
9849,816,1910,Trow,826,Chinese Restaurant,Empire Chinese Restaurant,728 Lexington Ave   ,Manhattan,New York,New York,728,Lexington,Ave,,,,728 Lexington Ave   ,,,Empire
9850,817,1910,Trow,826,Restaurant,Endler Hyman,27 Market St.   ,Manhattan,New York,New York,27,Market,St.,,,,27 Market St.   ,,,Endler
9851,818,1910,Trow,826,Restaurant,Endursky Max,25 Rutgers St.   ,Manhattan,New York,New York,25,Rutgers,St.,,,,25 Rutgers St.   ,,,Endursky
9852,819,1910,Trow,826,Restaurant,Engel Ferdinand,3550 Broadway St.   ,Manhattan,New York,New York,3550,Broadway,St.,,,,3550 Broadway St.   ,,,Engel
9853,820,1910,Trow,826,Restaurant,Engel Yetta ,38 Maiden  La   ,Manhattan,New York,New York,38,Maiden ,La,,,,38 Maiden  La   ,,,Engel
9854,821,1910,Trow,826,Restaurant,Engel's (inc) ,61 W 36 St.  ,Manhattan,New York,New York,61,W,36,St.,,,61 W 36 St.  ,,,Engel's
9855,822,1910,Trow,826,Restaurant,Engle J. & G. L. Jacobi,1405 St. Nicholas Ave   ,Manhattan,New York,New York,1405,St. Nicholas,Ave,,,,1405 St. Nicholas Ave   ,,,Engle
9856,823,1910,Trow,826,Restaurant,Engler Isaac,22 Clinton St.   ,Manhattan,New York,New York,22,Clinton,St.,,,,22 Clinton St.   ,,,Engler
9857,824,1910,Trow,826,Restaurant,Epstein Max,115 Bleecker St.   ,Manhattan,New York,New York,115,Bleecker,St.,,,,115 Bleecker St.   ,,,Epstein
9858,825,1910,Trow,826,Restaurant,Epstein Morris,92 Prince St.   ,Manhattan,New York,New York,92,Prince,St.,,,,92 Prince St.   ,,,Epstein
9859,826,1910,Trow,826,Restaurant,Epstein Morris II,230 Wooster St.   ,Manhattan,New York,New York,230,Wooster,St.,,,,230 Wooster St.   ,,,Epstein
9860,827,1910,Trow,826,Restaurant,Epstein Samuel,130 Maiden La   ,Manhattan,New York,New York,130,Maiden,La,,,,130 Maiden La   ,,,Epstein
9861,828,1910,Trow,826,Restaurant,Epstein Samuel II,3 Pike St.   ,Manhattan,New York,New York,3,Pike,St.,,,,3 Pike St.   ,,,Epstein
9862,829,1910,Trow,826,Restaurant,Erikson Jorgen P.,71 Broad St.   ,Manhattan,New York,New York,71,Broad,St.,,,,71 Broad St.   ,,,Erikson
9863,830,1910,Trow,826,Restaurant,Eschenbach Henry E.,850 8 Ave   ,Manhattan,New York,New York,850,8,Ave,,,,850 8 Ave   ,,,Eschenbach
9864,831,1910,Trow,826,Restaurant,Esposito Antonio,71 W 100 St.  ,Manhattan,New York,New York,71,W,100,St.,,,71 W 100 St.  ,,,Esposito
9865,832,1910,Trow,826,Restaurant,Estrick Joseph,430 E Houston St.  ,Manhattan,New York,New York,430,E,Houston,St.,,,430 E Houston St.  ,,,Estrick
9866,833,1910,Trow,826,Restaurant,Ettenberg Morris,112 Division St.   ,Manhattan,New York,New York,112,Division,St.,,,,112 Division St.   ,,,Ettenberg
9867,834,1910,Trow,826,Restaurant,Ettinger Marks,288 Cherry St.   ,Manhattan,New York,New York,288,Cherry,St.,,,,288 Cherry St.   ,,,Ettinger
9868,835,1910,Trow,826,Restaurant,Euler Edward,83 4 Ave   ,Manhattan,New York,New York,83,4,Ave,,,,83 4 Ave   ,,,Euler
9869,836,1910,Trow,826,Restaurant,Eureka Restaurant,40 W 18 St.  ,Manhattan,New York,New York,40,W,18,St.,,,40 W 18 St.  ,,,Eureka
9870,837,1910,Trow,826,Restaurant,Evans Silas P. ,96 Fulton St.   ,Manhattan,New York,New York,96,Fulton,St.,,,,96 Fulton St.   ,,,Evans
9871,838,1910,Trow,826,Restaurant,Evenberg Michael,176 Eldridge St.   ,Manhattan,New York,New York,176,Eldridge,St.,,,,176 Eldridge St.   ,,,Evenberg
9872,839,1910,Trow,826,Restaurant,Exchange Buffet Corporation,3 Broad St.   ,Manhattan,New York,New York,3,Broad,St.,,,,3 Broad St.   ,,,Exchange
9873,840,1910,Trow,826,Restaurant,Exchange Buffet Corporation,20 Broad St.   ,Manhattan,New York,New York,20,Broad,St.,,,,20 Broad St.   ,,,Exchange
9874,841,1910,Trow,826,Restaurant,Exchange Buffet Corporation,37 Broad St.   ,Manhattan,New York,New York,37,Broad,St.,,,,37 Broad St.   ,,,Exchange
9875,842,1910,Trow,826,Restaurant,Exchange Buffet Corporation,46 Broad St.   ,Manhattan,New York,New York,46,Broad,St.,,,,46 Broad St.   ,,,Exchange
9876,843,1910,Trow,826,Restaurant,Exchange Buffet Corporation,74 Broad St.   ,Manhattan,New York,New York,74,Broad,St.,,,,74 Broad St.   ,,,Exchange
9877,844,1910,Trow,826,Restaurant,Exchange Buffet Corporation,90 Beaver St.   ,Manhattan,New York,New York,90,Beaver,St.,,,,90 Beaver St.   ,,,Exchange
9878,845,1910,Trow,826,Restaurant,Exchange Buffet Corporation,45 John St.   ,Manhattan,New York,New York,45,John,St.,,,,45 John St.   ,,,Exchange
9879,846,1910,Trow,826,Restaurant,Exchange Buffet Corporation,97 Liberty St.   ,Manhattan,New York,New York,97,Liberty,St.,,,,97 Liberty St.   ,,,Exchange
9880,847,1910,Trow,826,Restaurant,Exchange Buffet Corporation,11 Murray St.   ,Manhattan,New York,New York,11,Murray,St.,,,,11 Murray St.   ,,,Exchange
9881,848,1910,Trow,826,Restaurant,Exchange Buffet Corporation,69 Pine St.   ,Manhattan,New York,New York,69,Pine,St.,,,,69 Pine St.   ,,,Exchange
9882,849,1910,Trow,826,Restaurant,Exchange Buffet Corporation,78 Walker St.   ,Manhattan,New York,New York,78,Walker,St.,,,,78 Walker St.   ,,,Exchange
9883,850,1910,Trow,826,Restaurant,Eyrie Restaurant,150 Nassau St.   ,Manhattan,New York,New York,150,Nassau,St.,,,,150 Nassau St.   ,,,Eyrie
9884,851,1910,Trow,826,Restaurant,Faccini L. P. & Co,46 Franklin St.   ,Manhattan,New York,New York,46,Franklin,St.,,,,46 Franklin St.   ,,,Faccini
9885,852,1910,Trow,826,Restaurant,Facompre Frederick,719 7 Ave   ,Manhattan,New York,New York,719,7,Ave,,,,719 7 Ave   ,,,Facompre
9886,853,1910,Trow,826,Restaurant,Fagat Aaron,124 E Houston St.  ,Manhattan,New York,New York,124,E,Houston,St.,,,124 E Houston St.  ,,,Fagat
9887,854,1910,Trow,826,Restaurant,Faigie Albert,925 3 Ave   ,Manhattan,New York,New York,925,3,Ave,,,,925 3 Ave   ,,,Faigie
9888,855,1910,Trow,826,Restaurant,Fair (The),2037 3 Ave   ,Manhattan,New York,New York,2037,3,Ave,,,,2037 3 Ave   ,,,Fair
9889,856,1910,Trow,826,Restaurant,Fairfeld Charles F.,3537 Broadway    ,Manhattan,New York,New York,3537,Broadway,,,,,3537 Broadway    ,,,Fairfeld
9890,857,1910,Trow,826,Restaurant,Falco Giovanni,2169 1 Ave   ,Manhattan,New York,New York,2169,1,Ave,,,,2169 1 Ave   ,,,Falco
9891,858,1910,Trow,826,Restaurant,Falco M. ,44 E 21 St.  ,Manhattan,New York,New York,44,E,21,St.,,,44 E 21 St.  ,,,Falco
9892,859,1910,Trow,826,Restaurant,Falnotico Frank,252 Mott St.   ,Manhattan,New York,New York,252,Mott,St.,,,,252 Mott St.   ,,,Falnotico
9893,860,1910,Trow,826,Chinese Restaurant,Far East Chinese Restaurant,10 Grand Circle St.   ,Manhattan,New York,New York,10,Grand Circle,St.,,,,10 Grand Circle St.   ,,,Far
9894,861,1910,Trow,826,Restaurant,Faraclas Nicholas,52 Madison St.   ,Manhattan,New York,New York,52,Madison,St.,,,,52 Madison St.   ,,,Faraclas
9895,862,1910,Trow,826,Restaurant,Farando Joseph A.,94 Sullivan St.   ,Manhattan,New York,New York,94,Sullivan,St.,,,,94 Sullivan St.   ,,,Farando
9896,863,1910,Trow,826,Restaurant,Farrish's Chop House (inc),107 William St.   ,Manhattan,New York,New York,107,William,St.,,,,107 William St.   ,,,Farrish's
9897,864,1910,Trow,826,Restaurant,Fasano Giuseppe,112 Mulberry St.   ,Manhattan,New York,New York,112,Mulberry,St.,,,,112 Mulberry St.   ,,,Fasano
9898,865,1910,Trow,826,Restaurant,Fass Harry,17 W 21 St.  ,Manhattan,New York,New York,17,W,21,St.,,,17 W 21 St.  ,,,Fass
9899,866,1910,Trow,826,Restaurant,Fatseas & Samios,673 3 Ave   ,Manhattan,New York,New York,673,3,Ave,,,,673 3 Ave   ,,,Fatseas
9900,867,1910,Trow,826,Restaurant,Faust Restaurant Co. ,1823 Broadway    ,Manhattan,New York,New York,1823,Broadway,,,,,1823 Broadway    ,,,Faust
9901,868,1910,Trow,826,Restaurant,Fav John T. ,2235 8 Ave   ,Manhattan,New York,New York,2235,8,Ave,,,,2235 8 Ave   ,,,Fav
9902,869,1910,Trow,826,Restaurant,Fav John T. ,259 W 125 St.  ,Manhattan,New York,New York,259,W,125,St.,,,259 W 125 St.  ,,,Fav
9903,870,1910,Trow,826,Restaurant,Fav John T. ,311 W 125 St.  ,Manhattan,New York,New York,311,W,125,St.,,,311 W 125 St.  ,,,Fav
9904,871,1910,Trow,826,Restaurant,Feaster Conrad,2391 2 Ave   ,Manhattan,New York,New York,2391,2,Ave,,,,2391 2 Ave   ,,,Feaster
9905,872,1910,Trow,826,Restaurant,Feaster Frank,387 E 128 St.  ,Manhattan,New York,New York,387,E,128,St.,,,387 E 128 St.  ,,,Feaster
9906,873,1910,Trow,826,Restaurant,Feaster Frank,2958 3 Ave   ,Manhattan,New York,New York,2958,3,Ave,,,,2958 3 Ave   ,,,Feaster
9907,874,1910,Trow,826,Restaurant,Feaster George,893 Prospect Ave   ,Manhattan,New York,New York,893,Prospect,Ave,,,,893 Prospect Ave   ,,,Feaster
9908,875,1910,Trow,826,Restaurant,Feaster Henry,2131 3 Ave   ,Manhattan,New York,New York,2131,3,Ave,,,,2131 3 Ave   ,,,Feaster
9909,876,1910,Trow,826,Restaurant,Feaster Joseph,1392 Boston Rd   ,Manhattan,New York,New York,1392,Boston,Rd,,,,1392 Boston Rd   ,,,Feaster
9910,877,1910,Trow,826,Restaurant,Feaster William,1955 3 Ave   ,Manhattan,New York,New York,1955,3,Ave,,,,1955 3 Ave   ,,,Feaster
9911,878,1910,Trow,826,Restaurant,Feder Morris,312 Cherry St.   ,Manhattan,New York,New York,312,Cherry,St.,,,,312 Cherry St.   ,,,Feder
9912,879,1910,Trow,826,Restaurant,Fegeas Alfons,664 9 Ave   ,Manhattan,New York,New York,664,9,Ave,,,,664 9 Ave   ,,,Fegeas
9913,880,1910,Trow,826,Restaurant,Fegut Arthur P.,2637 Broadway    ,Manhattan,New York,New York,2637,Broadway,,,,,2637 Broadway    ,,,Fegut
9914,881,1910,Trow,826,Restaurant,Feher Peter,219 Avenue A    ,Manhattan,New York,New York,219,Avenue A,,,,,219 Avenue A    ,,,Feher
9915,882,1910,Trow,826,Restaurant,Feierstat Samuel,138 Norfolk St.   ,Manhattan,New York,New York,138,Norfolk,St.,,,,138 Norfolk St.   ,,,Feierstat
9916,883,1910,Trow,826,Restaurant,Feifer Abraham,183 E Broadway   ,Manhattan,New York,New York,183,E,Broadway,,,,183 E Broadway   ,,,Feifer
9917,884,1910,Trow,826,Restaurant,Feifer Isaac,14 Jeff St.   ,Manhattan,New York,New York,14,Jeff,St.,,,,14 Jeff St.   ,,,Feifer
9918,885,1910,Trow,826,Restaurant,Feigelstock Simon,441 E 81 St.  ,Manhattan,New York,New York,441,E,81,St.,,,441 E 81 St.  ,,,Feigelstock
9919,886,1910,Trow,826,Restaurant,Feigenbaum Reuben,250 Cherry St.   ,Manhattan,New York,New York,250,Cherry,St.,,,,250 Cherry St.   ,,,Feigenbaum
9920,887,1910,Trow,826,Restaurant,Fein Frances,11 Essex St.   ,Manhattan,New York,New York,11,Essex,St.,,,,11 Essex St.   ,,,Fein
9921,888,1910,Trow,826,Restaurant,Fein Jennie,190 Wooster St.   ,Manhattan,New York,New York,190,Wooster,St.,,,,190 Wooster St.   ,,,Fein
9922,889,1910,Trow,826,Restaurant,Feinberg Samuel,55 Ridge St.   ,Manhattan,New York,New York,55,Ridge,St.,,,,55 Ridge St.   ,,,Feinberg
9923,890,1910,Trow,826,Restaurant,Feinberg & Dunes,693 8 Ave   ,Manhattan,New York,New York,693,8,Ave,,,,693 8 Ave   ,,,Feinberg
9924,891,1910,Trow,826,Restaurant,Feitelson & Newman ,173 Greenwich St.   ,Manhattan,New York,New York,173,Greenwich,St.,,,,173 Greenwich St.   ,,,Feitelson
9925,892,1910,Trow,826,Restaurant,Feitelson & Newman ,84 Cortlandt St.   ,Manhattan,New York,New York,84,Cortlandt,St.,,,,84 Cortlandt St.   ,,,Feitelson
9926,893,1910,Trow,826,Restaurant,Feldman Herman,8 Howard St.   ,Manhattan,New York,New York,8,Howard,St.,,,,8 Howard St.   ,,,Feldman
9927,894,1910,Trow,826,Restaurant,Feldman Isaac,356 West St.   ,Manhattan,New York,New York,356,West,St.,,,,356 West St.   ,,,Feldman
9928,895,1910,Trow,826,Restaurant,Feldman Joseph,40 Forsyth St.   ,Manhattan,New York,New York,40,Forsyth,St.,,,,40 Forsyth St.   ,,,Feldman
9929,896,1910,Trow,826,Restaurant,Feldman Samuel,493 West St.   ,Manhattan,New York,New York,493,West,St.,,,,493 West St.   ,,,Feldman
9930,897,1910,Trow,826,Restaurant,Feldman & Cantor,355 Bowery St.   ,Manhattan,New York,New York,355,Bowery,St.,,,,355 Bowery St.   ,,,Feldman
9931,898,1910,Trow,826,Restaurant,Feldman & Lessinger,55 2 Ave   ,Manhattan,New York,New York,55,2,Ave,,,,55 2 Ave   ,,,Feldman
9932,899,1910,Trow,826,Restaurant,Feldstein Joseph,156 Allen St.   ,Manhattan,New York,New York,156,Allen,St.,,,,156 Allen St.   ,,,Feldstein
9933,900,1910,Trow,826,Restaurant,Felitto Samuel G,129 Cherry St.   ,Manhattan,New York,New York,129,Cherry,St.,,,,129 Cherry St.   ,,,Felitto
9934,901,1910,Trow,826,Restaurant,Feller Isaac,86 Willett St.   ,Manhattan,New York,New York,86,Willett,St.,,,,86 Willett St.   ,,,Feller
9935,902,1910,Trow,826,Restaurant,Felderman William,122 W 19 St.  ,Manhattan,New York,New York,122,W,19,St.,,,122 W 19 St.  ,,,Felderman
9936,903,1910,Trow,826,Restaurant,Ferad Edward ,30 Lexington Ave   ,Manhattan,New York,New York,30,Lexington,Ave,,,,30 Lexington Ave   ,,,Ferad
9937,904,1910,Trow,826,Restaurant,Ferdinand & Litwin,317 Bowery  St.   ,Manhattan,New York,New York,317,Bowery ,St.,,,,317 Bowery  St.   ,,,Ferdinand
9938,905,1910,Trow,826,Restaurant,Ferdinand & Litwin,27 Cooper  Sq   ,Manhattan,New York,New York,27,Cooper ,Sq,,,,27 Cooper  Sq   ,,,Ferdinand
9939,906,1910,Trow,826,Restaurant,Fererra Gemi ,106 Bayard St.   ,Manhattan,New York,New York,106,Bayard,St.,,,,106 Bayard St.   ,,,Fererra
9940,907,1910,Trow,826,Restaurant,Ferkauf Samuel,280 Broome St.   ,Manhattan,New York,New York,280,Broome,St.,,,,280 Broome St.   ,,,Ferkauf
9941,908,1910,Trow,826,Restaurant,Fernery (firm of) ,13 W 33 St.  ,Manhattan,New York,New York,13,W,33,St.,,,13 W 33 St.  ,,,Fernery
9942,909,1910,Trow,826,Restaurant,Fernery (firm of) ,62 Broad St.   ,Manhattan,New York,New York,62,Broad,St.,,,,62 Broad St.   ,,,Fernery
9943,910,1910,Trow,826,Restaurant,Ferraiolo Michael,608 E 187 St.  ,Manhattan,New York,New York,608,E,187,St.,,,608 E 187 St.  ,,,Ferraiolo
