Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
14318,,1920.0,Phillip's,1190.0,,Thoelen H. W.,13 W 27 St.,,New York,New York,13,W,27,St.,,,,,,Thoelen
14319,,1920.0,Phillip's,1190.0,,Thomann's ,183 6 Ave. ,,New York,New York,183,6,Ave.,,,,,,,Thomann's
14320,,1920.0,Phillip's,1190.0,,Thomas F. Albert,40 E 19 St.,,New York,New York,40,E,19,St.,,,,,,Thomas
14321,,1920.0,Phillip's,1190.0,,Thompson John R.,317 E 34 St.,,New York,New York,317,E,34,St.,,,,,,Thompson
14322,,1920.0,Phillip's,1190.0,,Thompson F. D.,1849 Broadway  ,,New York,New York,1849,Broadway,,,,,,,,Thompson
14323,,1920.0,Phillip's,1190.0,,Thorne,58 W 36 St.,,New York,New York,58,W,36,St.,,,,,,Thorne
14324,,1920.0,Phillip's,1190.0,,Tier J.,66 Beekman St. ,,New York,New York,66,Beekman,St.,,,,,,,Tier
14325,,1920.0,Phillip's,1190.0,,Tivoli Restaurant,162 E 28 St.,,New York,New York,162,E,28,St.,,,,,,Tivoli
14326,,1920.0,Phillip's,1190.0,,Tofilowsky & Mendelson,68 Spring St. ,,New York,New York,68,Spring,St.,,,,,,,Tofilowsky
14327,,1920.0,Phillip's,1190.0,,"Tokio, The",141 W 45 St.,,New York,New York,141,W,45,St.,,,,,,"Tokio,"
14328,,1920.0,Phillip's,1190.0,,Tomashoff A.,273 Lenox Ave. ,,New York,New York,273,Lenox,Ave.,,,,,,,Tomashoff
14329,,1920.0,Phillip's,1190.0,,Tomashoff's ,411 Broadway  ,,New York,New York,411,Broadway,,,,,,,,Tomashoff's
14330,,1920.0,Phillip's,1190.0,,Tomer Chas.,727 Lexington Ave. ,,New York,New York,727,Lexington,Ave.,,,,,,,Tomer
14331,,1920.0,Phillip's,1190.0,,Tomsuden & Heinberg ,616 Grand St. ,,New York,New York,616,Grand,St.,,,,,,,Tomsuden
