Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
16823,,1925.0,Philips,873.0,,Opera Restaurant,265 W 34 St.,,New York,New York,265,W,34,St.,,,,,,Opera
16824,,1925.0,Philips,873.0,,Orenstein N.,25 W 19 St.,,New York,New York,25,W,19,St.,,,,,,Orenstein
16825,,1925.0,Philips,873.0,,Oretsky Rubin,127 W 22 St.,,New York,New York,127,W,22,St.,,,,,,Oretsky
16826,,1925.0,Philips,873.0,Chinese Restaurant,Oriental Chop Suey Restaurant,1560 Broadway,,New York,New York,1560,Broadway,,,,,,,,Oriental
16827,,1925.0,Philips,873.0,Chinese Restaurant,Oriental Restaurant Inc.,4 Pell  St.,,New York,New York,4,Pell ,St.,,,,,,,Oriental
16828,,1925.0,Philips,873.0,,Oriole Tea Room,10 Cortlandt St.,,New York,New York,10,Cortlandt,St.,,,,,,,Oriole
16829,,1925.0,Philips,873.0,,Ornstein Joseph,572 Grand St.,,New York,New York,572,Grand,St.,,,,,,,Ornstein
16830,,1925.0,Philips,873.0,,"Ortelli C. & A., Cipriani",51 W 35 St.,,New York,New York,51,W,35,St.,,,,,,Ortelli
16831,,1925.0,Philips,873.0,,Orto Robert,2078 Lexington  Ave.,,New York,New York,2078,Lexington ,Ave.,,,,,,,Orto
16832,,1925.0,Philips,873.0,,Otte R.,135 Reade St.,,New York,New York,135,Reade,St.,,,,,,,Otte
16833,,1925.0,Philips,873.0,,Our Co-operative Cafeteria Inc.,22 Thames,,New York,New York,22,Thames,,,,,,,,Our
16834,,1925.0,Philips,873.0,,Our Restaurant,223 W 33 St.,,New York,New York,223,W,33,St.,,,,,,Our
16835,,1925.0,Philips,873.0,,Oxford Lunch,115 Lenox  Ave.,,New York,New York,115,Lenox ,Ave.,,,,,,,Oxford
16836,,1925.0,Philips,873.0,,P. & R. Lunch ,150 W Broadway,,New York,New York,150,W,Broadway,,,,,,,P.
16837,,1925.0,Philips,873.0,,Pageant Tea Garden,111 Schiff  Pkway,,New York,New York,111,Schiff ,Pkway,,,,,,,Pageant
16838,,1925.0,Philips,873.0,,Palace Restaurant,3 E 28 St.,,New York,New York,3,E,28,St.,,,,,,Palace
