Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
12817,336.0,1915.0,Philips,1010.0,Restaurants,Hellmuth Simon,205  West St.,Manhattan,New York,New York,205,West,,,,St.,,,,Hellmuth
12818,337.0,1915.0,Philips,1010.0,Restaurants,"Hencken, Haaren & Co. ",50 W. 18 St.,Manhattan,New York,New York,50,18,,,W.,St.,,,,"Hencken,"
12819,338.0,1915.0,Philips,1010.0,Restaurants,"Hencken, Haaren & Co. ",108 W. 18 St.,Manhattan,New York,New York,108,18,,,W.,St.,,,,"Hencken,"
12820,339.0,1915.0,Philips,1010.0,Restaurants,Henri's,67 W. 44 St.,Manhattan,New York,New York,67,44,,,W.,St.,,,,Henri's
12821,340.0,1915.0,Philips,1010.0,Restaurants,Henry's,69 W. 36 St.,Manhattan,New York,New York,69,36,,,W.,St.,,,,Henry's
12822,341.0,1915.0,Philips,1010.0,Restaurants,Herald Lunch,219 W. 42 St.,Manhattan,New York,New York,219,42,,,W.,St.,,,,Herald
12823,342.0,1915.0,Philips,1010.0,Restaurants,Herzog Leon,2549  Broadway ,Manhattan,New York,New York,2549,Broadway,,,,,,,,Herzog
12824,343.0,1915.0,Philips,1010.0,Restaurants,Heyman Lew M.,2824  Broadway ,Manhattan,New York,New York,2824,Broadway,,,,,,,,Heyman
12825,344.0,1915.0,Philips,1010.0,Restaurants,Hitchcock Oliver,34  Park Row,Manhattan,New York,New York,34,Park,,,,Row,,,,Hitchcock
12826,345.0,1915.0,Philips,1010.0,Restaurants,Hoetzer Frederick J.,46 W. 35 St.,Manhattan,New York,New York,46,35,,,W.,St.,,,,Hoetzer
12827,346.0,1915.0,Philips,1010.0,Restaurants,Hof-Brau-Haus,1214  Broadway ,Manhattan,New York,New York,1214,Broadway,,,,,,,,Hof-Brau-Haus
12828,347.0,1915.0,Philips,1010.0,Restaurants,Hoffman George,1313  Broadway ,Manhattan,New York,New York,1313,Broadway,,,,,,,,Hoffman
12829,348.0,1915.0,Philips,1010.0,Restaurants,Holbert Frank,12  Warren St.,Manhattan,New York,New York,12,Warren,,,,St.,,,,Holbert
12830,349.0,1915.0,Philips,1010.0,Restaurants,Holtzman D.,19  Fulton St.,Manhattan,New York,New York,19,Fulton,,,,St.,,,,Holtzman
12831,350.0,1915.0,Philips,1010.0,Restaurants,Homadko & Brikle,401  Hudson St.,Manhattan,New York,New York,401,Hudson,,,,St.,,,,Homadko
12832,351.0,1915.0,Philips,1010.0,Restaurants,Horn & Hardart Co.,600 W. 50 St.,Manhattan,New York,New York,600,50,,,W.,St.,,,,Horn
12833,352.0,1915.0,Philips,1010.0,Restaurants,Horowitz D.,315  Canal St.,Manhattan,New York,New York,315,Canal,,,,St.,,,,Horowitz
12834,353.0,1915.0,Philips,1010.0,Restaurants,Howes J. F. ,702  West End  Ave.,Manhattan,New York,New York,702,West End ,,,,Ave.,,,,Howes
12835,354.0,1915.0,Philips,1010.0,Restaurants,Hudson Lunch Co.,164  5 Ave.,Manhattan,New York,New York,164,5,,,,Ave.,,,,Hudson
12836,355.0,1915.0,Philips,1010.0,Restaurants,Hudson Terminal Lunch Co.,191  Fulton St.,Manhattan,New York,New York,191,Fulton,,,,St.,,,,Hudson
12837,356.0,1915.0,Philips,1010.0,Restaurants,Hug E. R.,165 W. 23 St.,Manhattan,New York,New York,165,23,,,W.,St.,,,,Hug
12838,357.0,1915.0,Philips,1010.0,Restaurants,Hunia Pastry Co.,894  Prospect Ave.,Manhattan,New York,New York,894,Prospect,,,,Ave.,,,,Hunia
12839,358.0,1915.0,Philips,1010.0,Restaurants,Huntley Lunch,5  Gold St.,Manhattan,New York,New York,5,Gold,,,,St.,,,,Huntley
12840,359.0,1915.0,Philips,1010.0,Restaurants,Ideal Bakery & Lunch Rooms,589  Broadway ,Manhattan,New York,New York,589,Broadway,,,,,,,,Ideal
12841,360.0,1915.0,Philips,1010.0,Restaurants,Ideal Dairy,168 W. 25 St.,Manhattan,New York,New York,168,25,,,W.,St.,,,,Ideal
