Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
15322,835,1890,Trows,332,Restaurants,Maillie John,221  Bleecker St.,Manhattan,New York,New York,221,Bleecker,,,,St.,,,,Maillie
15323,836,1890,Trows,332,Restaurants,Maisch Leopold,384  Pearl St.,Manhattan,New York,New York,384,Pearl,,,,St.,,,,Maisch
15324,837,1890,Trows,332,Restaurants,Malat John,2  Washington Pl.,Manhattan,New York,New York,2,Washington,,,,Pl.,,,,Malat
15325,838,1890,Trows,332,Restaurants,Malcomson James,560  10 Ave.,Manhattan,New York,New York,560,10,,,,Ave.,,,,Malcomson
15326,839,1890,Trows,332,Restaurants,Maleham William E.,42 E. 43 St.,Manhattan,New York,New York,42,43,,,E.,St.,,,,Maleham
15327,840,1890,Trows,332,Restaurants,Malley & Jensen,249  Bowery St.,Manhattan,New York,New York,249,Bowery,,,,St.,,,,Malley
15328,841,1890,Trows,332,Restaurants,Manny Cornelius J.,69  Hudson St.,Manhattan,New York,New York,69,Hudson,,,,St.,,,,Manny
15329,842,1890,Trows,332,Restaurants,Mansch Philip,34  Liberty St.,Manhattan,New York,New York,34,Liberty,,,,St.,,,,Mansch
15330,843,1890,Trows,332,Restaurants,Marchet Camille,56 W. Houston St.,Manhattan,New York,New York,56,Houston,,,W.,St.,,,,Marchet
15331,844,1890,Trows,332,Restaurants,Mark Frederick,201  Avenue A. St.,Manhattan,New York,New York,201,Avenue A.,,,,St.,,,,Mark
15332,845,1890,Trows,332,Restaurants,Markert & Weil,453  6 Ave.,Manhattan,New York,New York,453,6,,,,Ave.,,,,Markert
15333,846,1890,Trows,332,Restaurants,Marrie Louis,72  Marion St.,Manhattan,New York,New York,72,Marion,,,,St.,,,,Marrie
15334,847,1890,Trows,332,Restaurants,Martin Samuel W.,1437  Broadway ,Manhattan,New York,New York,1437,Broadway,,,,,,,,Martin
15335,848,1890,Trows,332,Restaurants,Martinez & Aberasturi,192  Pearl St.,Manhattan,New York,New York,192,Pearl,,,,St.,,,,Martinez
15336,849,1890,Trows,332,Restaurants,Marx Felix,79  Mercer St.,Manhattan,New York,New York,79,Mercer,,,,St.,,,,Marx
15337,850,1890,Trows,332,Restaurants,Mather George,387  10 Ave.,Manhattan,New York,New York,387,10,,,,Ave.,,,,Mather
15338,851,1890,Trows,332,Restaurants,Mathews Edward,1  West St.,Manhattan,New York,New York,1,West,,,,St.,,,,Mathews
15339,852,1890,Trows,332,Restaurants,Mattern Paul,258 E. Houston St.,Manhattan,New York,New York,258,Houston,,,E.,St.,,,,Mattern
15340,853,1890,Trows,332,Restaurants,May Ernest,125  Bleecker St.,Manhattan,New York,New York,125,Bleecker,,,,St.,,,,May
15341,854,1890,Trows,332,Restaurants,Mayer Joseph,19 W. 4 St.,Manhattan,New York,New York,19,4,,,W.,St.,,,,Mayer
15342,855,1890,Trows,332,Restaurants,Mayer Otto,643  10 Ave.,Manhattan,New York,New York,643,10,,,,Ave.,,,,Mayer
