Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
14818,335,1890,Trows,328,Restaurants,Dubuis Oscar,"191,5  Wooster St.",Manhattan,New York,New York,191.5,Wooster,,,,St.,,,,Dubuis
14819,336,1890,Trows,328,Restaurants,Duffy Catharine,2213  2 Ave.,Manhattan,New York,New York,2213,2,,,,Ave.,,,,Duffy
14820,337,1890,Trows,328,Restaurants,Duffy Matthew,308  Pearl St.,Manhattan,New York,New York,308,Pearl,,,,St.,,,,Duffy
14821,338,1890,Trows,328,Restaurants,Dunn Patrick,86  South St.,Manhattan,New York,New York,86,South,,,,St.,,,,Dunn
14822,339,1890,Trows,328,Restaurants,Dunne & Regan,27  Church St.,Manhattan,New York,New York,27,Church,,,,St.,,,,Dunne
14823,340,1890,Trows,328,Restaurants,Dunning William,2  Chambers St.,Manhattan,New York,New York,2,Chambers,,,,St.,,,,Dunning
14824,341,1890,Trows,328,Restaurants,Duppler Matilda,7  3 Ave.,Manhattan,New York,New York,7,3,,,,Ave.,,,,Duppler
14825,342,1890,Trows,328,Restaurants,Dupre Rene,112 W. 25 St.,Manhattan,New York,New York,112,25,,,W.,St.,,,,Dupre
14826,343,1890,Trows,328,Restaurants,Duquesne Felix,400  6 Ave.,Manhattan,New York,New York,400,6,,,,Ave.,,,,Duquesne
14827,344,1890,Trows,328,Restaurants,Durain A. & F. Herry,389  Washington St.,Manhattan,New York,New York,389,Washington,,,,St.,,,,Durain
14828,345,1890,Trows,328,Restaurants,Durban George,179  Greenwich St.,Manhattan,New York,New York,179,Greenwich,,,,St.,,,,Durban
14829,346,1890,Trows,328,Restaurants,Durelle Alice,150 W. 32 St.,Manhattan,New York,New York,150,32,,,W.,St.,,,,Durelle
14830,347,1890,Trows,328,Restaurants,Eagan Alexander G.,396  1 Ave.,Manhattan,New York,New York,396,1,,,,Ave.,,,,Eagan
14831,348,1890,Trows,328,Restaurants,Eagleson Richard,110  Tompkins Mkt.,Manhattan,New York,New York,110,Tompkins,,,,Mkt.,,,,Eagleson
14832,349,1890,Trows,328,Restaurants,Earle Jacob P.,1508  1 Ave.,Manhattan,New York,New York,1508,1,,,,Ave.,,,,Earle
14833,350,1890,Trows,328,Restaurants,Ebeling Ernst,50  Bowery St.,Manhattan,New York,New York,50,Bowery,,,,St.,,,,Ebeling
14834,351,1890,Trows,328,Restaurants,Ebenhack Edward,931  6 Ave.,Manhattan,New York,New York,931,6,,,,Ave.,,,,Ebenhack
14835,352,1890,Trows,328,Restaurants,Eberhardt Oscar,802  Washington St.,Manhattan,New York,New York,802,Washington,,,,St.,,,,Eberhardt
14836,353,1890,Trows,328,Restaurants,Eberlin Frederick E.,17  New St.,Manhattan,New York,New York,17,New,,,,St.,,,,Eberlin
14837,354,1890,Trows,328,Restaurants,Eberson Isaac,46  Delancey St.,Manhattan,New York,New York,46,Delancey,,,,St.,,,,Eberson
14838,355,1890,Trows,328,Restaurants,Edgar James M. Jr.,46 W. 14 St.,Manhattan,New York,New York,46,14,,,W.,St.,,,,Edgar
14839,356,1890,Trows,328,Restaurants,Edsall David A.,43 W. 125 St.,Manhattan,New York,New York,43,125,,,W.,St.,,,,Edsall
14840,357,1890,Trows,328,Restaurants,Egan Mary ,450 E. Houston ,Manhattan,New York,New York,450,Houston,,,E.,,,,,Egan
14841,358,1890,Trows,328,Restaurants,Egger Sebastion ,107  Park Pl.,Manhattan,New York,New York,107,Park,,,,Pl.,,,,Egger
14842,359,1890,Trows,328,Restaurants,Eggert August,504 W. 34 St.,Manhattan,New York,New York,504,34,,,W.,St.,,,,Eggert
14843,360,1890,Trows,328,Restaurants,Egniguren Xavier,118  Maiden  La.,Manhattan,New York,New York,118,Maiden ,,,,La.,,,,Egniguren
14844,361,1890,Trows,328,Restaurants,Ehrler Frank,445  6 Ave.,Manhattan,New York,New York,445,6,,,,Ave.,,,,Ehrler
14845,362,1890,Trows,328,Restaurants,Ehrler & Kaiser,6  Chatham Sq.,Manhattan,New York,New York,6,Chatham,,,,Sq.,,,,Ehrler
14846,363,1890,Trows,328,Restaurants,Eichhorn Joseph,42  Essex St.,Manhattan,New York,New York,42,Essex,,,,St.,,,,Eichhorn
14847,364,1890,Trows,328,Restaurants,Eisengart George J.,395  Bowery St.,Manhattan,New York,New York,395,Bowery,,,,St.,,,,Eisengart
14848,365,1890,Trows,328,Restaurants,Eller William C.,1660  10 Ave.,Manhattan,New York,New York,1660,10,,,,Ave.,,,,Eller
14849,366,1890,Trows,328,Restaurants,Elliott Peter E.,185  Bowery St.,Manhattan,New York,New York,185,Bowery,,,,St.,,,,Elliott
14850,367,1890,Trows,328,Restaurants,Elmiger Elizabeth,53  Rose St.,Manhattan,New York,New York,53,Rose,,,,St.,,,,Elmiger
