Unnamed: 0,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name
17323,,1925.0,Philips,875.0,,White's Lunch Room,101 Walker St.,,New York,New York,101,Walker,St.,,,,,,,White's
17324,,1925.0,Philips,875.0,,Whitehead Alice,102 Nassau St.,,New York,New York,102,Nassau,St.,,,,,,,Whitehead
17325,,1925.0,Philips,875.0,,Whitehouse Restaurant,1696 Broadway,,New York,New York,1696,Broadway,,,,,,,,Whitehouse
17326,,1925.0,Philips,875.0,,Whyte's Inc.,143 Fulton St.,,New York,New York,143,Fulton,St.,,,,,,,Whyte's
17327,,1925.0,Philips,875.0,,Wiederhorn & Rosenberg,96 Greenwich St.,,New York,New York,96,Greenwich,St.,,,,,,,Wiederhorn
17328,,1925.0,Philips,875.0,,Wiese & Loeb,11 Frankfort St.,,New York,New York,11,Frankfort,St.,,,,,,,Wiese
17329,,1925.0,Philips,875.0,,Wilfred's,67 Wall St.,,New York,New York,67,Wall,St.,,,,,,,Wilfred's
17330,,1925.0,Philips,875.0,,Wilkins L.,2220 5 Ave.,,New York,New York,2220,5,Ave.,,,,,,,Wilkins
17331,,1925.0,Philips,875.0,,Willard ,557 5 Ave.,,New York,New York,557,5,Ave.,,,,,,,Willard
17332,,1925.0,Philips,875.0,,Willy's,166 William St.,,New York,New York,166,William,St.,,,,,,,Willy's
17333,,1925.0,Philips,875.0,,"Wilmette, The",49 W 39 St.,,New York,New York,49,W,39,St.,,,,,,"Wilmette,"
17334,,1925.0,Philips,875.0,,Winograd C. S.,82 Orchard St.,,New York,New York,82,Orchard,St.,,,,,,,Winograd
17335,,1925.0,Philips,875.0,,Winthrop Lunch,22 John St.,,New York,New York,22,John,St.,,,,,,,Winthrop
17336,,1925.0,Philips,875.0,,Wishkowsky L.,247 E 14 St.,,New York,New York,247,E,14,St.,,,,,,Wishkowsky
17337,,1925.0,Philips,875.0,,Wittmann J.,285 Bowery St.,,New York,New York,285,Bowery,St.,,,,,,,Wittmann
17338,,1925.0,Philips,875.0,,Wolff A.,11 W 26 St.,,New York,New York,11,W,26,St.,,,,,,Wolff
17339,,1925.0,Philips,875.0,,Woltman J. B.,86 Gansevoort St.,,New York,New York,86,Gansevoort,St.,,,,,,,Woltman
17340,,1925.0,Philips,875.0,,Workman H.,211 7 Ave.,,New York,New York,211,7,Ave.,,,,,,,Workman
17341,,1925.0,Philips,875.0,,World Cafeteria,14 W 19 St.,,New York,New York,14,W,19,St.,,,,,,World
17342,,1925.0,Philips,875.0,,World Restaurant,63 Park Row,,New York,New York,63,Park Row,,,,,,,,World
17343,,1925.0,Philips,875.0,,Woroner S.,27 E 4 St.,,New York,New York,27,E,4,St.,,,,,,Woroner
17344,,1925.0,Philips,875.0,,Wright Stephen A.,3785 Broadway,,New York,New York,3785,Broadway,,,,,,,,Wright
17345,,1925.0,Philips,875.0,,X. L. Lunch,501 W 23 St.,,New York,New York,501,W,23,St.,,,,,,X.
17346,,1925.0,Philips,875.0,,Ye Appetite,80 Nassau St.,,New York,New York,80,Nassau,St.,,,,,,,Ye
17347,,1925.0,Philips,875.0,,Ye Olde Dutch Tavern,15 John St.,,New York,New York,15,John,St.,,,,,,,Ye
17348,,1925.0,Philips,875.0,,Ye Olde English Coffee House,14 E 44 St.,,New York,New York,14,E,44,St.,,,,,,Ye
17349,,1925.0,Philips,875.0,,Ye Olde Pallette,41 E 22 St.,,New York,New York,41,E,22,St.,,,,,,Ye
17350,,1925.0,Philips,875.0,,Yellow Aster,146 W 57 St.,,New York,New York,146,W,57,St.,,,,,,Yellow
17351,,1925.0,Philips,876.0,Chinese Restaurant,Yet-Wah-Low & Co.,103 W 44 St.,,New York,New York,103,W,44,St.,,,,,,Yet-Wah-Low
17352,,1925.0,Philips,876.0,,Yohalem's,1544 Broadway,,New York,New York,1544,Broadway,,,,,,,,Yohalem's
17353,,1925.0,Philips,876.0,Chinese Restaurant,Young Jong,67 W 23 St.,,New York,New York,67,W,23,St.,,,,,,Young
17354,,1925.0,Philips,876.0,,Zanganas & Loomas,167 W 23 St.,,New York,New York,167,W,23,St.,,,,,,Zanganas
17355,,1925.0,Philips,876.0,,Zavodnick's Samuel,8 E 17 St.,,New York,New York,8,E,17,St.,,,,,,Zavodnick's
17356,,1925.0,Philips,876.0,,Zeitz Bros.,150 William St.,,New York,New York,150,William,St.,,,,,,,Zeitz
17357,,1925.0,Philips,876.0,,Zelinsky A.,36 W 21 St.,,New York,New York,36,W,21,St.,,,,,,Zelinsky
17358,,1925.0,Philips,876.0,,Zimand J.,864 Broadway,,New York,New York,864,Broadway,,,,,,,,Zimand
17359,,1925.0,Philips,876.0,,Zimmerman A. A.,180 Fulton St.,,New York,New York,180,Fulton,St.,,,,,,,Zimmerman
17360,,1925.0,Philips,876.0,,Zimmerman C.,119 E 18 St.,,New York,New York,119,E,18,St.,,,,,,Zimmerman
17361,,1925.0,Philips,876.0,,Zoller H.,97 Forsyth St.,,New York,New York,97,Forsyth,St.,,,,,,,Zoller
17362,,1925.0,Philips,876.0,,Zorian S.,4 Barclay St.,,New York,New York,4,Barclay,St.,,,,,,,Zorian
17363,,1925.0,Philips,876.0,,Zucca Restaurant Inc.,116 W 49 St.,,New York,New York,116,W,49,St.,,,,,,Zucca
17364,,1925.0,Philips,876.0,,Zwerdling & Velinsky,405 4 Ave.,,New York,New York,405,4,Ave.,,,,,,,Zwerdling
