,addresses,Lat,Lon
0,W 37th Street 261,40.75316942474623,-73.98953361825525
1,Houston Street W 78,40.72727784861623,-73.99914794282174
2,W 33rd Street 2,40.74933140634444,-73.98837945293407
6,4th Avenue 265,40.738797907898146,-73.98767691951868
8,E 26th Street 151,40.74116382339803,-73.98218996549501
9,Forsyth Street 113,40.720110737873654,-73.99229093754103
10,Moore Street N 13,40.720282314793,-74.00593017519047
11,W 30th Street 219,40.74928143335451,-73.99380439861687
12,E 11th Street 65,40.733690352151896,-73.99277538602256
14,W 29th Street 163,40.74743783397448,-73.9913714266123
15,Division Street 215,40.71515964278244,-73.9880695568433
17,E 12th Street 3,40.73463558866811,-73.99286531667055
18,W 35th Street 254,40.75195272170645,-73.99080227697964
19,W 47th Street 310,40.76110202701648,-73.98921341149736
20,8th Avenue 795,40.76172263905039,-73.98682353852277
21,Houston Street E 217,40.72266098474823,-73.98693748534112
22,Ridge Street 93,40.719545354192235,-73.98328720916683
23,W 116th Street 40,40.801456006619254,-73.94838651822151
25,West Street 424,40.73544484332305,-74.00978420698866
27,Grand Street 300,40.718070561353976,-73.99188163039491
29,W 17th Street 8,40.739417842120645,-73.99525222796248
33,Fulton Street 116,40.71023276883796,-74.00679246506122
35,E 33rd Street 15,40.74777259255194,-73.98445118908506
37,1st Avenue 797,40.750701804257126,-73.96896816041789
39,Broadway 1420,40.754121537347,-73.98694096556294
40,Broadway 290,40.715595084119705,-74.00521027471193
42,8th Avenue 2305,40.825890499485915,-73.93991277999493
43,3rd Avenue 2380,40.805816287195746,-73.9344861038864
45,3rd Avenue 220,40.736229007177975,-73.98559352111685
47,W 28th Street 43,40.74592293301345,-73.98956625289445
51,Abingdon Square 7,40.73674381763376,-74.00521434688113
53,Hudson Street 42,40.71818155339774,-74.00877111245029
54,W 59th Street 351,40.77023448142992,-73.98739637135337
55,W 38th Street 61,40.75144944808282,-73.98341801873507
57,W 48th Street 141,40.75919481216364,-73.98242511814513
58,W 33rd Street 31,40.748788716729074,-73.98687913191851
59,6th Avenue 488,40.74732386050474,-73.98984017946549
60,Broadway 1565,40.75887431103224,-73.98519506553981
62,Doyers Street 11,40.71498297537787,-73.99790801798765
64,6th Avenue 48,40.73246462639253,-74.0005461057972
65,Pell Street 24,40.71551640528322,-73.99863649787153
67,W 44th Street 103,40.75712794594267,-73.9853179762603
69,Doyers Street 2,40.71529579382525,-73.99792952021313
70,W 133rd Street 44,40.81221299746032,-73.94035158032523
72,Doyers Street 16,40.71485640921101,-73.9977227513486
75,8th Avenue 492,40.75248743783616,-73.99333114753411
77,W 125th Street 313,40.81079778707475,-73.95244074580228
78,W 14th Street 404,40.74201563975012,-74.0077782677308
79,8th Avenue 2322,40.825623618066004,-73.93981710277427
80,Pell Street 11,40.71534215535165,-73.99834277652374
82,8th Avenue 650,40.75689719931583,-73.99007802730272
83,W 23rd Street 165,40.74328600081928,-73.99325122861366
84,Mott Street 16,40.71437417565193,-73.99857993539523
85,Doyers Street 13,40.71492020614695,-73.9978784794738
86,E 125th Street 149,40.80405900508488,-73.93646717623896
90,3rd Avenue 677,40.751036140009944,-73.97446778282244
92,E 28th Street 26,40.74369218005149,-73.98458410982121
93,W 28th Street 10,40.74519357147043,-73.9880875854677
94,W 34th Street 165,40.750073486454006,-73.9879955511113
95,W 116th Street 54,40.80125169892557,-73.94787697966814
98,Pell Street 3,40.71520633673701,-73.9977397703097
100,3rd Avenue 134,40.73406800192396,-73.98719421334958
102,8th Avenue 610,40.75565755463579,-73.99099633996528
103,W 125th Street 322,40.81067958605172,-73.95240331384757
104,W 28th Street 45,40.74588546959906,-73.98947883827663
105,7th Avenue 584,40.75610232799569,-73.98742262080277
106,3rd Avenue 2139,40.7981144972258,-73.93993294558017
107,W 23rd Street 203,40.7451978139644,-73.99784230875085
108,Wall Street 72,40.70648243639384,-74.00872988237312
109,Broadway 1576,40.75988714720081,-73.98478874677238
110,Mott Street 7,40.71405979394604,-73.99861392310609
111,Mott Street 9,40.71409479393931,-73.99862392313456
112,Pell Street 12,40.715416289090115,-73.99825489012431
113,8th Avenue 549,40.7546672124606,-73.99200960642881
114,8th Avenue 2717,40.83142404382154,-73.93580532646628
116,8th Avenue 676,40.7573530569314,-73.9897203055106
117,4th Avenue 235,40.73747794108528,-73.98867931834998
118,W 125th Street 219,40.810029770475076,-73.95061427494122
121,W 42nd Street 259,40.75620211598526,-73.98704986683393
122,3rd Avenue 2312,40.80428951424038,-73.93564903923841
123,W 125th Street 79,40.80672181227255,-73.94284431176462
126,Doyers Street 3,40.7152340523016,-73.99802617204311
127,W 125th Street 164,40.80818729037867,-73.94649616128632
128,E 73rd Street 434,40.768530511628626,-73.95556546542697
129,West Street 507,40.739073849629335,-74.00962394537358
130,Fulton Street 12,40.707621284470605,-74.0038849252467
131,2nd Avenue 226,40.73215332886962,-73.98546023097084
132,6th Avenue 406,40.743983679641936,-73.99226396191001
133,10th Avenue 400,40.753633146881874,-73.99983099162738
134,West Street 191,40.71820697496897,-74.01251554806811
135,W 36th Street 15,40.75106866920734,-73.9863734084945
136,W 4th Street 48,40.729739348107636,-73.99596354571548
137,W 133rd Street 2,40.81280635916651,-73.94178136781237
138,2nd Avenue 1986,40.788491866942536,-73.9439354593157
140,Eldridge Street 215,40.72257063489135,-73.9899840779439
141,Ridge Street 91,40.719624211334875,-73.98324720923199
142,Bleecker Street 115,40.72810017038483,-73.99781219457576
144,W 30th Street 51,40.747331809059965,-73.98906163543975
148,Pike Street 87,40.710695246127884,-73.9921576010724
149,Cedar Street 133,40.71041656446191,-74.01325363003834
151,Liberty Street 130,40.710760342403084,-74.0130520184376
153,Greenwich Street 214,40.7140915752645,-74.01160918435693
154,Washington Street 211,40.7143700026504,-74.01218375856476
155,8th Avenue 285,40.74663546246648,-73.99791518727938
156,1st Avenue 242,40.73224364412195,-73.98220028753825
157,Lexington Avenue 235,40.74598968310985,-73.98026348492184
158,3rd Avenue 293,40.73869433458229,-73.98358850600782
159,3rd Avenue 129,40.73418611562646,-73.9868217864626
165,E 4th Street 169,40.72549153359439,-73.98666502960782
166,E 4th Street 88,40.72567054439026,-73.98732876771453
167,E 4th Street 103,40.72608581923548,-73.98800395936809
169,Lexington Avenue 723,40.76229028268181,-73.96837339460271
171,E 73rd Street 349,40.76961536773488,-73.957999902297
172,4th Avenue 303,40.74008242756437,-73.98673788782907
173,W 37th Street 17,40.75163502074069,-73.98576026290588
174,10th Avenue 281,40.7502558486548,-74.00261154068113
176,Greenwich Street 187,40.71237244878538,-74.01197974260988
178,Henry Street 205,40.71410051089374,-73.9885958776325
179,West Street 278,40.72448990917807,-74.0111139330088
182,W 23rd Street 224,40.744872303673375,-73.99732396561724
183,Broome Street 215,40.717997928442934,-73.9886258056858
184,Wooster Street 97,40.72578717920465,-74.00018016090763
185,8th Avenue 626,40.756407538317305,-73.99045491234641
186,2nd Avenue 619,40.74449140122071,-73.97655765605128
187,7th Avenue 570,40.75521080598288,-73.9878835528699
189,6th Avenue 440,40.74527879168823,-73.99130840367523
191,B Avenue 212,40.72868799418149,-73.9791722884876
193,Rivington Street 103,40.72031875887923,-73.98789174757931
194,D Avenue 68,40.72260981138739,-73.97724497246104
195,Madison Avenue 1306,40.78498750620881,-73.95598754183864
196,3rd Avenue 286,40.73902566532349,-73.98361416117015
198,Broadway 779,40.73203108599727,-73.99180989782897
199,6th Avenue 789,40.756414077275544,-73.98335065195367
200,W 45th Street 62,40.75583569730412,-73.9804528879283
201,Pike Street 45,40.7123932925614,-73.99249723850603
202,W 114th Street 62,40.801135212664725,-73.95173668785041
203,9th Avenue 786,40.765074537048434,-73.98773734372597
204,Forsyth Street 181,40.72200934469927,-73.99127560271731
205,Hester Street 167,40.71819810077185,-73.99661841003483
206,W 38th Street 304,40.75558927556937,-73.99371287238976
207,Broadway 298,40.71530495078393,-74.00544920847759
208,A Avenue 1427,40.77030750167065,-73.95178170104735
209,8th Avenue 253,40.74499926978362,-73.99913308453662
210,Stone Street 12,40.70452755277562,-74.01234983772801
214,Henry Street 284,40.71445053072178,-73.98397250976454
215,Broad Street 43,40.70541980180723,-74.01138712166275
218,7th Avenue 372,40.748973361767476,-73.99253192671372
219,Pike Street 19,40.714120800587864,-73.99275431986753
220,Orchard Street 57,40.716876069259186,-73.9911763093298
221,Broadway 954,40.741159494015065,-73.98969929940266
223,Duane Street 97,40.714535470857285,-74.00322769062518
225,8th Avenue 2314,40.825708323949,-73.9397643967598
226,7th Avenue 701,40.75982847865699,-73.98424010995451
229,W 19th Street 35,40.740146935339936,-73.99318449709752
230,W 35th Street 262,40.75185860405875,-73.99058141419373
231,Broadway 535,40.724576217181244,-73.99795063416529
232,E 45th Street 226,40.75260945855956,-73.97250085003162
234,W 118th Street 438,40.80589731431424,-73.9549651071949
236,8th Avenue 218,40.74471593233518,-73.99907459661681
238,2nd Avenue 1654,40.7772997092904,-73.95208292853125
239,6th Avenue 502,40.74798972921556,-73.9893089974736
241,W 134th Street 73,40.81251221401646,-73.93889463241328
242,W 99th Street 63,40.793742156085216,-73.9633907225397
243,West Street 273,40.72474209079188,-74.01117406721254
245,Madison Avenue 1666,40.79649205430062,-73.94761660751266
246,Orchard Street 68,40.71853528337161,-73.99021890013334
247,E 14th Street 120,40.73371596701816,-73.98747004604004
248,6th Avenue 600,40.75095317402379,-73.98711107134808
249,E 42nd Street 8,40.75307476262927,-73.97976171442144
250,2nd Avenue 1086,40.76002408880467,-73.9649532318318
251,Maiden Lane 89,40.707221050526336,-74.00667712704677
252,W 26th Street 464,40.74853496403443,-74.00012276962642
254,Broadway 1424,40.75396995839959,-73.9869780184634
255,6th Avenue 608,40.75074726097876,-73.98726133253705
259,Pearl Street 95,40.70453791744533,-74.00989179288997
260,Stone Street 60,40.704684455989884,-74.01045807352456
261,W 37th Street 258,40.75312021627244,-73.98966268941624
262,Greenwich Street 173,40.71162237414591,-74.01222420982636
265,W 13th Street 66,40.73612470042277,-73.99468949451364
267,W 134th Street 107,40.81459521599967,-73.94393844065544
270,E 125th Street 163,40.8042503384169,-73.93691517615619
272,E 28th Street 162,40.742879660186716,-73.98249430882753
273,5th Avenue 92,40.73671582860364,-73.99362154744348
275,Broadway 337,40.717069402515286,-74.00421239368589
277,E 107th Street 303,40.79124379768822,-73.9416101836873
278,E 37th Street 14,40.750372661604366,-73.98281918790032
280,W 61st Street 225,40.772462108906964,-73.988896643966
281,W 31st Street 127,40.74860721222602,-73.99034533456127
282,E 59th Street 17,40.76404440173653,-73.97224759932773
285,7th Avenue 271,40.7459174745979,-73.99449190682292
287,W 23rd Street 258,40.74447230367065,-73.9963906321098
288,9th Avenue 342,40.75064725379515,-73.99827279681698
289,W 20th Street 132,40.74161920985202,-73.99530851644806
290,Thomas Street 81,40.71788579982802,-74.00839442197774
291,Houston Street E 168,40.723579447099375,-73.98929503722546
293,6th Avenue 805,40.7571716059138,-73.98279814951604
294,E 18th Street 43,40.73803876422426,-73.98982188786822
295,Rutgers Street 11,40.714845083468404,-73.99027936872787
296,W 135th Street 107,40.815245179603245,-73.94347971380407
297,Broome Street 208,40.71766150788013,-73.98725305359966
298,Broadway 1607,40.76027380705817,-73.98500653126514
299,W 25th Street 167,40.74454549255258,-73.99212164973845
301,E 17th Street 122,40.73584181486701,-73.98681536396688
302,Beekman Street 16,40.71214268556855,-74.00674494096769
305,E 34th Street 45,40.747463015256116,-73.98149044952297
307,New Chambers Street 6,40.71264402624224,-74.00124448671373
310,W 67th Street 65,40.7746605578331,-73.98225438525867
311,Nassau Street 113,40.71167566207141,-74.0064306872468
313,6th Avenue 622,40.75155479911403,-73.98666137471278
315,6th Avenue 769,40.75586319738597,-73.983789880145
316,Broadway 1487,40.756292055400166,-73.98710813822468
317,E 42nd Street 9,40.75317032827323,-73.97974337644926
318,E 59th Street 150,40.762044668402666,-73.96765604026984
319,Hudson Street 284,40.72602528615059,-74.00740645209201
320,7th Avenue 497,40.75250561498478,-73.98966261995992
321,7th Avenue 477,40.75186213632949,-73.99012182732231
322,7th Avenue 491,40.752687509723174,-73.989505988111
323,6th Avenue 628,40.751362799112535,-73.98680790132316
324,7th Avenue 565,40.75528519392396,-73.98756149964557
325,E 14th Street 3,40.73593830447794,-73.99194386742114
327,E 17th Street 11,40.73786030346968,-73.99112359697956
329,Broadway 388,40.71955239524052,-74.00189689803582
330,Broadway 864,40.73701151355689,-73.99061315488159
331,6th Avenue 191,40.73788157223689,-73.99701280716296
333,Frankfort Street 5,40.711799107052734,-74.00465761357225
335,Hudson Street 360,40.72797756308641,-74.00711082934855
336,10th Avenue 76,40.74228135688963,-74.00818971853587
