,Unnamed: 0.1,Unnamed: 0.1.1,ID,YR,DIR,PG,TYPE,NAME,ADDY,BOROUGH,CITY,STATE,HOUSENO,STNAME,STNAME.1,STNAME.2,ST_PREFIX,ST_SUFFIX,AdrMod,STNAME.3,STNAME.4,last_name,census_match_full,census_match_1,census_match_1p,first_name,census_match_full_2,census_match_2,census_match_2p,addresses,Coordinates,Lat,Lon
592,465,11465,2749,1910,Trow,826.0,Restaurant,Schmidt Charles,62 W 24 St.  ,Manhattan,New York,New York,62,W,24,St.,,,62 W 24 St.  ,,,Schmidt,"Counter({'Germany': 0.57, 'Hungary': 0.55, 'New York': 0.46, 'Denmark': 0.42, 'Russia': 0.31, 'Norway': 0.31, 'Switzerland': 0.3, 'Ohio': 0.22, 'Austria': 0.19, 'South Carolina': 0.19, 'Italy': 0.18, 'Maryland': 0.18, 'Massachusetts': 0.15, 'Sweden': 0.13, 'Kentucky': 0.13, 'France': 0.11, 'England': 0.11, 'Pennsylvania': 0.1, 'New Jersey': 0.09, 'Ireland': 0.07, 'Other': 0.06, 'Scotland': 0.03, 'North Carolina': 0.03})",Germany,0.57,Charles,,,,W 24 St. 62,"(nan, nan)",,
593,467,11467,2751,1910,Trow,826.0,Restaurant,Schmidt Brother,40 W 27 St.  ,Manhattan,New York,New York,40,W,27,St.,,,40 W 27 St.  ,,,Schmidt,"Counter({'Germany': 0.57, 'Hungary': 0.55, 'New York': 0.46, 'Denmark': 0.42, 'Russia': 0.31, 'Norway': 0.31, 'Switzerland': 0.3, 'Ohio': 0.22, 'Austria': 0.19, 'South Carolina': 0.19, 'Italy': 0.18, 'Maryland': 0.18, 'Massachusetts': 0.15, 'Sweden': 0.13, 'Kentucky': 0.13, 'France': 0.11, 'England': 0.11, 'Pennsylvania': 0.1, 'New Jersey': 0.09, 'Ireland': 0.07, 'Other': 0.06, 'Scotland': 0.03, 'North Carolina': 0.03})",Germany,0.57,Brother,,,,W 27 St. 40,"(nan, nan)",,
594,485,11485,2769,1910,Trow,826.0,Restaurant,Schoen Erich,14 N William St.  ,Manhattan,New York,New York,14,N,William,St.,,,14 N William St.  ,,,Schoen,"Counter({'New York': 0.72, 'Germany': 0.71, 'Austria': 0.47, 'Hungary': 0.3, 'Romania': 0.27, 'Russia': 0.26, 'New Jersey': 0.26, 'Ireland': 0.06, 'England': 0.06})",New York,0.72,Erich,,,,N William St. 14,"(nan, nan)",,
595,491,11491,2775,1910,Trow,826.0,Restaurant,Schoenwald Benjamin,260 E Houston St.  ,Manhattan,New York,New York,260,E,Houston,St.,,,260 E Houston St.  ,,,Schoenwald,"Counter({'Austria': 0.92, 'Hungary': 0.65})",Austria,0.92,Benjamin,,,,E Houston St. 260,"(nan, nan)",,
596,485,985,1769,1910,Trow,826.0,Restaurant,Lackner Louis,260 E Houston St.  ,Manhattan,New York,New York,260,E,Houston,St.,,,260 E Houston St.  ,,,Lackner,Counter({'Austria': 1.0}),Austria,1.0,Louis,,,,E Houston St. 260,"(nan, nan)",,
597,498,11498,2782,1910,Trow,826.0,Restaurant,Schreier Jacob,182 E 124 St.  ,Manhattan,New York,New York,182,E,124,St.,,,182 E 124 St.  ,,,Schreier,"Counter({'Russia': 0.86, 'New York': 0.61, 'England': 0.58, 'Austria': 0.27, 'Germany': 0.22})",Russia,0.86,Jacob,,,,E 124 St. 182,"(nan, nan)",,
598,147,1147,,1925.0,Philips,868.0,,A. H. Restaurant,45 W 28 St.,Manhattan,New York,New York,45,W,28,St.,,,,,,A.,,,,H.,,,,W 28 St. 45,"(nan, nan)",,
599,151,1151,,1925.0,Philips,868.0,,Academy Cafeteria,146 E 14 St.,Manhattan,New York,New York,146,E,14,St.,,,,,,Academy,,,,Cafeteria,,,,E 14 St. 146,"(nan, nan)",,
600,40,6540,,1930.0,Philips,878.0,,Academy Cafeteria,146 E 14 St.,,,,146,E,14,St.,,,,,,Academy,,,,Cafeteria,,,,E 14 St. 146,"(nan, nan)",,
601,152,1152,,1925.0,Philips,868.0,,Ace Cafeteria Inc.,1 E 27 St.,Manhattan,New York,New York,1,E,27,St.,,,,,,Ace,,,,Cafeteria,,,,E 27 St. 1,"(nan, nan)",,
602,41,6541,,1930.0,Philips,878.0,,Ace Cafeteria Inc,1 E 27 St.,,,,1,E,27,St.,,,,,,Ace,,,,Cafeteria,,,,E 27 St. 1,"(nan, nan)",,
603,156,1156,,1925.0,Philips,868.0,,Addieg F.,26 W 18 St.,Manhattan,New York,New York,26,W,18,St.,,,,,,Addieg,Counter({'Italy': 1.0}),Italy,1.0,F.,,,,W 18 St. 26,"(nan, nan)",,
604,437,2437,1.0,1920.0,Phillip's,1182.0,,Addieg F.,26 W 18 St.,Manhattan,New York,New York,26,W,18,St.,,,,,,Addieg,Counter({'Italy': 1.0}),Italy,1.0,F.,,,,W 18 St. 26,"(nan, nan)",,
605,238,10238,22,1910,Trow,826.0,Restaurants,Addieg Frank & Co,26 W 18 St.  ,Manhattan,New York,New York,26,W,18,St.,,,26 W 18 St.  ,,,Addieg,Counter({'Italy': 1.0}),Italy,1.0,Frank,,,,W 18 St. 26,"(nan, nan)",,
606,45,6545,,1930.0,Philips,878.0,,Addieg F.,26 W 18 St.,,,,26,W,18,St.,,,,,,Addieg,Counter({'Italy': 1.0}),Italy,1.0,F.,,,,W 18 St. 26,"(nan, nan)",,
607,158,1158,,1925.0,Philips,868.0,,Aero Lunch,202 W 19 St.,Manhattan,New York,New York,202,W,19,St.,,,,,,Aero,,,,Lunch,"Counter({'New York': 0.8, 'Austria': 0.5})",New York,0.8,W 19 St. 202,"(nan, nan)",,
608,47,6547,,1930.0,Philips,878.0,,Aero Lunch,202 W 19 St.,,,,202,W,19,St.,,,,,,Aero,,,,Lunch,"Counter({'New York': 0.8, 'Austria': 0.5})",New York,0.8,W 19 St. 202,"(nan, nan)",,
609,160,1160,,1925.0,Philips,868.0,,Alamo Restaurant,253 W 125 St.,Manhattan,New York,New York,253,W,125,St.,,,,,,Alamo,,,,Restaurant,,,,W 125 St. 253,"(nan, nan)",,
610,441,2441,1.0,1920.0,Phillip's,1182.0,,Alamo Restaurant,253 W 125 St.,,New York,New York,253,W,125,St.,,,,,,Alamo,,,,Restaurant,,,,W 125 St. 253,"(nan, nan)",,
611,49,6549,,1930.0,Philips,878.0,,Alamo Restaurant,253 W 125 St.,,,,253,W,125,St.,,,,,,Alamo,,,,Restaurant,,,,W 125 St. 253,"(nan, nan)",,
612,161,1161,,1925.0,Philips,868.0,,Alba,210 E 116 St.,Manhattan,New York,New York,210,E,116,St.,,,,,,Alba,Counter({'Italy': 1.0}),Italy,1.0,,,,,E 116 St. 210,"(nan, nan)",,
613,50,6550,,1930.0,Philips,878.0,,Alba,210 E 116 St.,,,,210,E,116,St.,,,,,,Alba,Counter({'Italy': 1.0}),Italy,1.0,,,,,E 116 St. 210,"(nan, nan)",,
614,162,1162,,1925.0,Philips,868.0,,Allerton Shop Tea Room,130 E 57 St.,Manhattan,New York,New York,130,E,57,St.,,,,,,Allerton,Counter({'New York': 1.0}),New York,1.0,Shop,,,,E 57 St. 130,"(nan, nan)",,
615,52,6552,,1930.0,Philips,878.0,,Allerton Shop Tea Room,130 E 57 St.,,,,130,E,57,St.,,,,,,Allerton,Counter({'New York': 1.0}),New York,1.0,Shop,,,,E 57 St. 130,"(nan, nan)",,
616,164,1164,,1925.0,Philips,868.0,,Alpine Restaurant Co. Inc,42 W 34 St.,Manhattan,New York,New York,42,W,34,St.,,,,,,Alpine,"Counter({'Russia': 0.78, 'England': 0.62, 'Scotland': 0.42})",Russia,0.78,Restaurant,,,,W 34 St. 42,"(nan, nan)",,
