DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
CREPES ON COLUMBUS,Manhattan,990,COLUMBUS AVENUE,10025.0,40.80099572781,-73.96159411428701
UNION CLUB OF CITY OF NEW YORK,Manhattan,101,EAST   69 STREET,10021.0,40.769028654782,-73.96489791296
FRENCHETTE,Manhattan,241,WEST BROADWAY,10013.0,40.719737943896,-74.005887490861
LE PAIN QUOTIDIEN,Manhattan,708,3 AVENUE,10017.0,40.752320832940995,-73.973323644879
BALTHAZAR RESTAURANT,Manhattan,80,SPRING STREET,10012.0,40.72270242812,-73.998109569261
XO CREPERIE,Brooklyn,2027,EMMONS AVENUE,11235.0,40.583719371089,-73.947232518173
LE CHARLOT,Manhattan,19,EAST   69 STREET,10021.0,40.769751038301,-73.966616010241
CHESTER,Manhattan,18,9 AVENUE,10014.0,40.740106844318,-74.005961470456
DAVID'S CAFE,Manhattan,110,SAINT MARKS PLACE,10009.0,40.727320863195,-73.984684280858
TRIX,Brooklyn,145,BEDFORD AVENUE,11211.0,40.719010693384,-73.956439536567
CHEZ MOI,Brooklyn,135,ATLANTIC AVENUE,11201.0,40.690569331938,-73.995550261493
RACINES,Manhattan,94,CHAMBERS STREET,10007.0,40.714640824232,-74.007362405874
JOLIE CANTINA,Brooklyn,241,SMITH STREET,11231.0,40.683630387301,-73.992547286275
BARAWINE,Manhattan,27,WEST  120 STREET,10027.0,40.804105052344,-73.946663414044
AIRS CHAMPAGNE PARLOR,Manhattan,127,MACDOUGAL STREET,10012.0,40.730571688241,-74.00000721624001
DAVID'S CAFE,Manhattan,110,SAINT MARKS PLACE,10009.0,40.727320863195,-73.984684280858
VIN ET FLEURS,Manhattan,69,THOMPSON STREET,10012.0,40.724352007366,-74.003073830174
BISTRO VENDOME,Manhattan,405,EAST   58 STREET,10022.0,40.75881175215999,-73.962026422211
LA VRAIE RACLETTE,Manhattan,511,EAST   12 STREET,10009.0,40.728871072395,-73.980805293559
SANTOS ANNE,Brooklyn,366,UNION AVENUE,11211.0,40.711342431508,-73.951171022732
LA VRAIE RACLETTE,Manhattan,511,EAST   12 STREET,10009.0,40.728871072395,-73.980805293559
RUE 57,Manhattan,60,WEST   57 STREET,10019.0,40.763731350534,-73.975824343877
L'AILE OU LA CUISSE (L'A.O.C),Manhattan,314,BLEECKER STREET,10014.0,40.732816838629,-74.003932983749
DIRTY PIERRES BISTRO,Queens,13,STATION SQUARE,11375.0,40.719208052264,-73.845100981906
FINANCIER PATISSERIE,Manhattan,10,LIBERTY STREET,10005.0,40.707633374321,-74.008155141122
DANIEL,Manhattan,60,EAST   65 STREET,10065.0,40.767028625907,-73.967971168723
VIN SUR VINGT,Manhattan,1140,BROADWAY,10001.0,40.743899731938,-73.988978588805
BUVETTE,Manhattan,42,GROVE STREET,10014.0,40.732759180970994,-74.004416484337
Cannelle LIC,Queens,5-11,47 AVENUE,11101.0,40.745878705109995,-73.955155158813
ORSAY,Manhattan,1057,LEXINGTON AVENUE,10021.0,40.772458240805,-73.960704425666
GABY RESTAURANT,Manhattan,45,WEST   44 STREET,10036.0,40.755413030858996,-73.98142927318901
JULES BISTRO,Manhattan,65,ST MARKS PLACE,10003.0,40.728018237736,-73.986296887556
TASTINGS - MOUNTAIN BIRD,Manhattan,251,EAST  110 STREET,10029.0,40.793653363105996,-73.941666207855
BRIGITTE BISTRO MODERNE,Manhattan,37,CANAL STREET,10002.0,40.714651692113,-73.991072044326
BRASSERIE 8 1/2,Manhattan,9,WEST   57 STREET,10019.0,40.763248016082,-73.97463325396
LOTTE NEW YORK PALACE-VILLARD,Manhattan,455,MADISON AVENUE,10022.0,40.758107248990996,-73.975393238921
BOSIE,Manhattan,506,LAGUARDIA PLACE,10012.0,40.727604594791,-73.99935417539899
JEAN CLAUDE FRENCH BISTRO,Manhattan,1343,2 AVENUE,10021.0,40.767926055718,-73.959010338739
DEUX AMIS,Manhattan,356,EAST   51 STREET,10022.0,40.754846980725006,-73.966544100803
MAMAN,Brooklyn,80,KENT STREET,11222.0,40.730539329819,-73.958091705812
LE PAIN QUOTIDIEN,Manhattan,861,LEXINGTON AVENUE,10065.0,40.765806509773995,-73.965556644362
LA CAFETTE,Brooklyn,103,HAVEMEYER STREET,11211.0,40.713235719258996,-73.95649021854399
Cannelle LIC,Queens,5-11,47 AVENUE,11101.0,40.745878705109995,-73.955155158813
LE PAIN QUOTIDIEN,Manhattan,PQ,BRYANT PARK KIOSK2,10036.0,40.753763756679994,-73.983570097712
LE GRAINNE CAFE,Manhattan,183,9 AVENUE,10011.0,40.745360454403,-74.002161745447
JULES BISTRO,Manhattan,65,ST MARKS PLACE,10003.0,40.728018237736,-73.986296887556
LAFAYETTE,Manhattan,380,LAFAYETTE STREET,10003.0,40.727489130951,-73.993476822077
SEL RROSE,Manhattan,1,DELANCEY STREET,10002.0,40.720234731451,-73.99382025287301
TOUT VA BIEN,Manhattan,311,WEST   51 STREET,10019.0,40.7631374512,-73.98617050787401
LE BARATIN,Manhattan,26,GREENWICH AVENUE,10011.0,40.735018207101,-74.000169592997
56TH & PARK F&B MANAGEMENT LLC,Manhattan,432,PARK AVENUE,10022.0,40.761034924781,-73.97117593399
BRANDY LIBRARY LOUNGE,Manhattan,25,NORTH MOORE STREET,10013.0,40.719839412508996,-74.007402665267
BISTRO CASSIS,Manhattan,225,COLUMBUS AVENUE,10023.0,40.776289342252,-73.97959646179
CREPERIE,Manhattan,135,LUDLOW STREET,10002.0,40.720308404418,-73.98824656244899
BALTHAZAR RESTAURANT,Manhattan,80,SPRING STREET,10012.0,40.72270242812,-73.998109569261
BEL AMI,Manhattan,30,EAST   68 STREET,10065.0,40.769114390467,-73.96708565873901
CAFE CLUNY,Manhattan,284,WEST   12 STREET,10014.0,40.737529596266,-74.004009041465
PETIT CREVETTE,Brooklyn,144,UNION STREET,11231.0,40.68407801112,-74.00195783784099
LAFAYETTE,Manhattan,380,LAFAYETTE STREET,10003.0,40.727489130951,-73.993476822077
ROSE BAKERY,Manhattan,160,LEXINGTON AVE,10016.0,40.744068983945,-73.981742808878
AMELIE,Manhattan,22,WEST    8 STREET,10011.0,40.732630229695,-73.99727578497
Pitchounette 81,Manhattan,245,EAST   81 STREET,10028.0,40.775148852108,-73.955258130017
BOBO RESTAURANT,Manhattan,181,WEST   10 STREET,10014.0,40.734290812313,-74.002724283182
GALLOW GREEN,Manhattan,530542,WEST   27 STREET,,0.0,0.0
THE ODEON,Manhattan,145,WEST BROADWAY,10013.0,40.716984810414,-74.008048068297
BOBO RESTAURANT,Manhattan,181,WEST   10 STREET,10014.0,40.734290812313,-74.002724283182
JOLIE CANTINA,Brooklyn,241,SMITH STREET,11231.0,40.683630387301,-73.992547286275
MAMAN,Manhattan,22,WEST   25 STREET,10010.0,40.743359104168,-73.98996388511999
BENOIT BISTRO,Manhattan,60,WEST   55 STREET,10019.0,40.762433274774,-73.976766988422
LOTTE NEW YORK PALACE-VILLARD,Manhattan,455,MADISON AVENUE,10022.0,40.758107248990996,-73.975393238921
VIN ET FLEURS,Manhattan,69,THOMPSON STREET,10012.0,40.724352007366,-74.003073830174
L'ADRESSE AMERICAN BISTRO,Manhattan,5,BRYANT PARK,10018.0,40.753936992473,-73.985948643127
L' ANTAGONISTE,Brooklyn,641,HANCOCK STREET,11233.0,40.684847116642,-73.929946084857
BOSIE,Manhattan,506,LAGUARDIA PLACE,10012.0,40.727604594791,-73.99935417539899
