DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
CAFE 86,Manhattan,2350,BROADWAY,10024.0,40.788000661474,-73.97674719843701
FRANHILL DELI,Queens,20417,HILLSIDE AVENUE,11423.0,40.720411153548,-73.760922579022
ONE WAY DELI,Brooklyn,26,COURT STREET,11242.0,40.693236957335,-73.99066022234
ST NICHOLAS FOOD & CAFE,Manhattan,285,SAINT NICHOLAS AVENUE,10027.0,40.810442626567,-73.952832022027
GRAB & GO,Manhattan,2096,5 AVENUE,10035.0,40.808820250156,-73.94051135202099
CONSTANTINES DELI,Queens,20510,48 AVENUE,11364.0,40.753456252263,-73.774869264677
J & JOE DELI & GROCERY,Queens,8239,164 STREET,11432.0,40.718233361666,-73.80367883007
SHARAN DELI,Manhattan,314,WEST   39 STREET,10018.0,40.755614614635,-73.991893104203
STAR LITE DELI,Manhattan,212,WEST   44 STREET,10036.0,40.757524458576,-73.986492930854
HAHA! DELI,Queens,15209,ROCKAWAY BLVD,11434.0,40.672145967759,-73.785415312753
ANDREW & FRANK'S DELI,Queens,28-02,23 AVENUE,11105.0,40.775455058048,-73.914444127789
VINCENTS BAGEL,Staten Island,500,HENDERSON AVENUE,10310.0,40.638122307034,-74.109195633771
BREAD & BUTTER,Manhattan,25,WEST   56 STREET,10019.0,40.762729442799,-73.975488991143
GARDENIA DELI,Manhattan,404,8 AVENUE,10001.0,40.749806887156,-73.995181763707
ANGELA'S SANDWICH SHOP,Manhattan,1428,6 AVENUE,10019.0,40.765213667817,-73.976538584534
ENJOY MY BAGELS,Brooklyn,959,4 AVENUE,11232.0,40.653827733703,-74.004904980524
GRAB & GO,Manhattan,2096,5 AVENUE,10035.0,40.808820250156,-73.94051135202099
SUNSET DELI,Brooklyn,4301,4 AVENUE,11232.0,40.650294985904004,-74.008576953077
CAFE OLYMPIA,Manhattan,664,LEXINGTON AVENUE,10022.0,40.759892775398995,-73.969891371765
CAFE D'AVIGNON,Brooklyn,445,ALBEE SQUARE WEST,11201.0,40.690826232689,-73.98345224546
DYKER PARK BAGELS,Brooklyn,713,86 STREET,11228.0,40.618673385958,-74.021547451245
CITY CAFE,Manhattan,35,WEST   43 STREET,10036.0,40.754688450892,-73.981656870146
K & L DAIRY FARM,Queens,7601,37TH AVE,11372.0,40.749177636564,-73.88976626610601
FRANK AND JOE'S DELI,Bronx,3639,EAST TREMONT AVENUE,10465.0,40.82822130941,-73.823909941754
BONAFIDE CAFE & DELI,Brooklyn,118,KANE STREET,11231.0,40.687091788582,-73.999426684455
SCAGLIONE BROTHERS BAKERY,Bronx,1078,MORRIS PARK AVENUE,10461.0,40.849268522198,-73.853630996614
STAGE STAR DELI,Manhattan,105,WEST   55 STREET,10019.0,40.763199408659,-73.978546398084
BREAD & BUTTER,Manhattan,14,EAST   44 STREET,10017.0,40.754460220511,-73.979220575447
ONE UP BISTRO,Manhattan,1404,MADISON AVENUE,10029.0,40.788117119743,-73.953515981069
G&B TERMINAL DELI,Brooklyn,22,BROOKLYN TERMINAL MARKET,11236.0,40.643402167111,-73.915468105833
MEERA DELI,Queens,11-57,44 DRIVE,11101.0,40.748475545398996,-73.949274190035
ST NICHOLAS FOOD & CAFE,Manhattan,285,SAINT NICHOLAS AVENUE,10027.0,40.810442626567,-73.952832022027
PLAZA DELI,Manhattan,127,JOHN STREET,10038.0,40.707210846466,-74.005316497796
THE SPOT CAFE/KOFOO,Manhattan,67,WEST   23 STREET,10010.0,40.742395822291,-73.991577147741
GREEN CAFE,Manhattan,36,EAST   58 STREET,10022.0,40.762827353403004,-73.97158307108499
J & LEE'S DELI,Bronx,214,EAST  188 STREET,10458.0,40.861178453964,-73.89715382571801
METRO EATS,Brooklyn,292,ATLANTIC AVENUE,11201.0,40.68847461353,-73.988847157858
CITY CAFE,Manhattan,35,WEST   43 STREET,10036.0,40.754688450892,-73.981656870146
STEPHANIE DELI,Queens,41-21,58 STREET,11377.0,40.743977816769,-73.906960252323
LENZ'S,Manhattan,514,EAST   20 STREET,10009.0,40.733769833227,-73.977274965551
MERCI MARKET,Manhattan,350,WEST   42 STREET,10036.0,40.757826842596,-73.991239495956
G&B TERMINAL DELI,Brooklyn,22,BROOKLYN TERMINAL MARKET,11236.0,40.643402167111,-73.915468105833
GOURMET 45,Manhattan,721,3 AVENUE,10017.0,40.752776379499004,-73.972966138331
561 DELI AND GROCERY,Manhattan,561,2 AVENUE,10016.0,40.742761681282,-73.977286321819
BAGEL CAFE,Bronx,2214,BARTOW AVENUE,10475.0,40.868993533883,-73.823338751608
ST NICHOLAS FOOD & CAFE,Manhattan,285,SAINT NICHOLAS AVENUE,10027.0,40.810442626567,-73.952832022027
CAFE RAE'S,Queens,8229,164TH ST,11432.0,40.718450296572,-73.803735908128
OLDE BROOKLYN BAGEL SHOPPE,Brooklyn,645,VANDERBILT AVENUE,11238.0,40.677788246329996,-73.968800138282
678 DELI,Queens,8820,VAN WYCK EXPY,11418.0,40.70212937157,-73.816710136493
ORANGE HUT,Queens,5317,BROADWAY,11377.0,40.753549208024,-73.907459363081
BREAD & BUTTER,Manhattan,14,EAST   44 STREET,10017.0,40.754460220511,-73.979220575447
GETTING HUNGRY,Manhattan,225,VARICK STREET,10014.0,40.729158013905,-74.005249702704
87ST DELI INC,Manhattan,1665,1 AVENUE,10028.0,40.777292675521004,-73.949078841717
COZY CORNER/CHICKEN LOVER,Manhattan,1161,2 AVENUE,10065.0,40.761949447216,-73.963367481917
SUNSET DELI,Brooklyn,4301,4 AVENUE,11232.0,40.650294985904004,-74.008576953077
ELIM BISTRO,Manhattan,11,PARK PLACE,10007.0,40.712820978699,-74.008296457327
'ESSEN,Manhattan,290,MADISON AVENUE,10017.0,40.751828134762995,-73.980004612489
AMERICA GOURMET FOOD,Manhattan,831,6 AVENUE,10001.0,40.746562257424,-73.99014745917499
BAGEL CAFE,Bronx,2214,BARTOW AVENUE,10475.0,40.868993533883,-73.823338751608
BUNNY DELI,Manhattan,1522,ST NICHOLAS AVENUE,10033.0,40.852525135916,-73.931370142031
PJ BERNSTEIN DELI & RESTAURANT,Manhattan,1215,THIRD AVENUE,10021.0,40.768613074623,-73.96140346972399
J & JOE DELI & GROCERY,Queens,8239,164 STREET,11432.0,40.718233361666,-73.80367883007
NIFOROS CORNER,Queens,3560,11TH ST,11106.0,40.76182683039,-73.939535516849
CAFE LAFAYETTE,Manhattan,80,LAFAYETTE STREET,10013.0,40.717056442649,-74.001800085346
PRINTON 56,Manhattan,50,WEST   56 STREET,10019.0,40.762954637093,-73.976077318569
H&H BAGELS,Queens,0,JFK INTL. AIRPORT,11430.0,40.648312826068,-73.788281497594
ENJOY MY BAGELS,Brooklyn,959,4 AVENUE,11232.0,40.653827733703,-74.004904980524
SUNSET BAGEL CAFE AND GRILL,Brooklyn,1501,FOSTER AVENUE,11230.0,40.634081409182,-73.96303802370599
METRO EATS,Brooklyn,292,ATLANTIC AVENUE,11201.0,40.68847461353,-73.988847157858
NO HO JUICE BAR & DELI,Manhattan,208,MERCER STREET,10012.0,40.726712503605,-73.996821431132
CRISTINA DELI,Queens,1237,150TH ST,11357.0,40.789639368422,-73.81411369477199
SERGIO'S PIZZA & DELI,Queens,48-03,DITMARS BOULEVARD,11105.0,40.769227306978,-73.900921038533
BREAD & BUTTER,Manhattan,419,PARK AVENUE SOUTH,10016.0,40.743792060616,-73.983720528685
MD BAGELS,Staten Island,434,CASTLETON AVENUE,10301.0,40.633675958723,-74.096758451596
MAX'S DELI & COFFEE SHOP,Brooklyn,2623,ATLANTIC AVENUE,11207.0,40.675693588245004,-73.897523885758
SABLE,Manhattan,1489,2 AVENUE,10075.0,40.772365868129995,-73.95576907247501
COZY CORNER/CHICKEN LOVER,Manhattan,1161,2 AVENUE,10065.0,40.761949447216,-73.963367481917
FRESNO II DELI,Manhattan,31,AVENUE C,10009.0,40.721630352016,-73.980648651104
DELICACY,Manhattan,12,EAST   44 STREET,10017.0,40.754495916740005,-73.979299971529
GARDENIA DELI,Manhattan,404,8 AVENUE,10001.0,40.749806887156,-73.995181763707
MOTT HAVEN BAGEL & BARISTA CAFE,Bronx,221,EAST  138 STREET,10451.0,40.811989053716005,-73.92847148603599
