DBA,BORO,BUILDING,STREET,ZIPCODE,Latitude,Longitude
RISTORANTE LUNA,Manhattan,115,MULBERRY STREET,10013.0,40.717676760803,-73.99823597202699
LA BELLA VITA,Manhattan,163,MULBERRY STREET,10013.0,40.719746293725,-73.99714283495999
COTTA BENE,Brooklyn,291,3 AVENUE,11215.0,40.676949040329,-73.986404761926
SCALINI FEDELI,Manhattan,165,DUANE STREET,10013.0,40.717275673637,-74.009144752361
ANGELETTO,Manhattan,890,2 AVENUE,10017.0,40.75324491455,-73.96968865497699
PEPOLINO,Manhattan,281,WEST BROADWAY,10013.0,40.720992348962,-74.004902727484
NICANDRAS,Brooklyn,264,IRVING AVENUE,11237.0,40.699788355387,-73.915760586501
NOCELLO,Manhattan,257,WEST   55 STREET,10019.0,40.765039130619,-73.982921116488
PAESANO'S,Manhattan,136,MULBERRY STREET,10013.0,40.718519394966,-73.997694829896
LA MASSERIA,Manhattan,235237,WEST   48 STREET,,0.0,0.0
BUON,Queens,74-02,ELIOT AVENUE,11379.0,40.722063414203,-73.885514563239
LIL FRANKIE'S PIZZA,Manhattan,19,1 AVENUE,10003.0,40.723467636191,-73.98829290367401
NOCELLO,Manhattan,257,WEST   55 STREET,10019.0,40.765039130619,-73.982921116488
IL CARINO RESTAURANT,Manhattan,1710,2 AVENUE,10128.0,40.779579672712,-73.950488903497
BAR VELOCE,Manhattan,175,SECOND AVENUE,10003.0,40.730472060292,-73.986314421583
TARALLUCCI E VINO,Manhattan,163,1 AVENUE,10003.0,40.728855145913,-73.984377244601
GIGINO AT WAGNER PARK,Manhattan,20,BATTERY PLACE,10004.0,40.704945203678996,-74.017467381633
NONNA BEPPA,Manhattan,290,HUDSON STREET,10013.0,40.725515577654,-74.00760172969599
AL VAPORETTO,Manhattan,168,EAST   81 STREET,10028.0,40.775904359811,-73.957091798192
RIBALTA MO',Manhattan,2,PENN PLZ,10121.0,40.750009774218,-73.991345194031
GAETANA'S CUCINA ITALIANA,Manhattan,143,CHRISTOPHER STREET,10014.0,40.732822137636,-74.007692772505
NICA TRATTORIA,Manhattan,354,EAST   84 STREET,10028.0,40.776014644956,-73.951444760706
FRANK,Manhattan,88,2 AVENUE,10003.0,40.72686297359,-73.988909258942
Da Gennaro,Manhattan,129,MULBERRY STREET,10013.0,40.718324519188,-73.99783552738201
IL MULINO,Manhattan,361,GREENWICH STREET,10013.0,40.719087118713006,-74.010342690479
AMORINA,Brooklyn,624,VANDERBILT AVENUE,11238.0,40.677480867704,-73.968933676397
ZAGARA WINE BAR,Manhattan,216,7 AVENUE,10011.0,40.743760205059,-73.995896752405
IL SOLE,Manhattan,229233,DYCKMAN STREET,,0.0,0.0
CAFFE E VINO,Brooklyn,112,DEKALB AVENUE,11201.0,40.689801546598,-73.978162637622
RISTORANTE LUNA,Manhattan,115,MULBERRY STREET,10013.0,40.717676760803,-73.99823597202699
CIPRIANI DOLCI,Manhattan,0,GRAND CENTRAL TERMINAL,10017.0,40.752513822619,-73.977304639681
FRESCO,Manhattan,34,EAST   52 STREET,10022.0,40.758946911086,-73.974324467264
BROOKS 1890 RESTAURANT,Queens,2428,JACKSON AVENUE,11101.0,40.746392659289,-73.944197946158
